DayNight,feature_number,CCA_log2,Dictyota_log2,Pocillopora verrucosa_log2,Porites lobata_log2,Turf_log2,Water control_log2,Organism,greater,lesser,FDR_greater,FDR_lesser,activity,CCA_xic,Dictyota_xic,Pocillopora verrucosa_xic,Porites lobata_xic,Turf_xic,Water control_xic,network,combined_ID,binary_ID,canopus_annotation,canopus_probability,chemontid,level,SUBCLASS,CHEMONT_STRING,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,ZodiacMF,characterization scores,C,H,N,O,P,S,NOSC,dG,inchi_binary,inchi_combined,simplified_makeup,inchi,inchi_key
Day,10027,-8.65493291669393,-1.316065334689786,-2.3225032731813124,0.6541306641702099,1.096434397669039,-1.406151733498718,CCA,0.9999999999986285,1.3714599274802504e-12,0.9999999999998594,1.502996197087392e-10,depletolite,403082.9407734389,242969.21539062815,287912.09091992583,142715.8560039075,107336.57419140753,67314.32797265734,2478,Phenylpropanoids and polyketides,3,Primary amines,0.99,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,C12H33N13O7,Bad quality,12,33,13,7,0,0,1.6666666666666665,12.800000000000004,3,N/A,uncharacterized,NA,NA
Day,10030,-6.390332246522329,-3.3608312869381605,0.1679789140899765,-2.6770938862817135,-2.3572299464174984,-3.6793051763304874,CCA,0.9999999999965653,3.434683183521616e-12,0.9999999999998594,1.8520458416022768e-10,depletolite,83884.49386425765,138548.0407700225,41362.69732861411,205141.22311718838,112622.14028466603,375443.3269599642,7,Spectral Match to p-tert-Octylphenol pentaglycol ether from NIST14,2,Alkyl phosphates,0.96,CHEMONTID:0003457,5,CHEMONTID:0000408,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000402;CHEMONTID:0000408;CHEMONTID:0003457,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Alkyl phosphates,NA,NA,NA,C23H51NO7P2,Good,23,51,1,7,2,0,-1.9130434782608692,114.82173913043476,2,N/A,CHONP,NA,NA
Day,10035,-2.2348847429842555,-2.466035123426695,-0.9502920807511118,-0.3039695485898402,-0.6430678668363708,0.037205991944567376,CCA,0.9977040543499658,0.002295945650034159,0.9999999999998594,0.03430342148971745,depletolite,10279124.359644534,18877883.97777345,3071634.317582026,2264505.6819101614,4703928.231539069,2012578.4689765624,1351,.gamma.-Glutamyl-(S)-allyl-L-cysteine,2,Carbonyl compounds,1,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,C13H15NO3,Good,13,15,1,3,0,0,-0.4615384615384617,73.45384615384616,2,"InChI=1S/C11H18N2O5S/c1-2-5-19-6-8(11(17)18)13-9(14)4-3-7(12)10(15)16/h2,7-8H,1,3-6,12H2,(H,13,14)(H,15,16)(H,17,18)/t7-,8-/m0/s1",CHON,"InChI=1S/C13H15NO3/c15-12(14-11-8-9-17-13(11)16)7-6-10-4-2-1-3-5-10/h1-5,11H,6-9H2,(H,14,15)",RUQJSJHHSDXJNE-UHFFFAOYSA-N
Day,10037,-5.5038737748672135,4.9141428148186135,0,4.9853696951751685,0,5.956579455490619,CCA,0.999999999974021,2.5978992851819745e-11,0.9999999999998594,7.279390862007947e-10,depletolite,45376.510859377144,1000,1000,1000,1000,1000,-1,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C13H21O3P,Bad quality,13,21,0,3,1,0,-1.5384615384615383,104.14615384615384,3,N/A,uncharacterized,"InChI=1S/C13H21O3P/c14-17(15,16)13(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h3,5,7,9,11-13H,1-2,4,6,8,10H2,(H2,14,15,16)",FDNIAQXKLLMALG-UHFFFAOYSA-N
Day,10047,-3.3717790265374283,-3.029734777586341,-2.501863117960425,-4.366077877341707,-3.546682364580292,-4.045732080001042,CCA,0.9999897708933881,1.0229106611848706e-5,0.9999999999998594,2.559225506917036e-4,depletolite,1107413.0407656168,1842019.1552226613,1329521.3466211148,963892.9495332176,1037353.5475039063,746876.3170781359,2917,xenortide A,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C11H30N15O2P,Low probability,11,30,15,2,1,0,1.272727272727273,24.027272727272717,3,N/A,uncharacterized,NA,NA
Day,10068,-9.451298949239915,-1.6942879493305065,-3.1844356189396956,-5.954942502271199,-10.271584928691034,-4.6647791458284935,CCA,0.9999999999989437,1.0562518192192482e-12,0.9999999999998594,1.502996197087392e-10,depletolite,700042.62027343,438241.00351561746,382274.7479687318,1204192.4536855284,1236104.4404629108,850567.2288984298,-1,"9-Oxo-10E,12Z,15Z-octadecatrienoic acid",2,Ethers,0.89,CHEMONTID:0000254,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0000254,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,NA,C21H38O8,Bad quality,21,38,0,8,0,0,-1.0476190476190474,90.15714285714284,2,"InChI=1S/C18H28O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h3-4,6,8,11,14H,2,5,7,9-10,12-13,15-16H2,1H3,(H,20,21)/b4-3-,8-6-,14-11+",uncharacterized,"InChI=1S/C21H38O8/c1-8-15-11(3)16(22)13(5)19(25)28-10(2)9-21(7,27)18(24)12(4)17(23)14(6)20(26)29-15/h10-18,22-24,27H,8-9H2,1-7H3",FUDJOSXGLNRDIV-UHFFFAOYSA-N
Day,10081,-4.336091020736003,-0.4719283196466888,-1.222486134042304,-0.4387178406654511,0.10221465511454823,0.11400953078872267,CCA,0.9989244921775469,0.0010755078224530584,0.9999999999998594,0.019019100449757805,depletolite,43596866.08209174,5201170.664531264,5503390.999359424,3350936.538421849,3350537.1751094554,3288198.813640624,945,Docosahexaenoic acid methyl ester,2,Carboxylic acid derivatives,0.93,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,C20H32O3,Good,20,32,0,3,0,0,-1.2999999999999998,97.35,2,"InChI=1S/C23H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23(24)25-2/h4-5,7-8,10-11,13-14,16-17,19-20H,3,6,9,12,15,18,21-22H2,1-2H3/b5-4-,8-7-,11-10-,14-13-,17-16-,20-19-",CHO,"InChI=1S/C20H32O3/c1-13(10-18(22)23)6-8-19(4)14(2)7-9-20(5)15(3)11-16(21)12-17(19)20/h11,13-14,17H,6-10,12H2,1-5H3,(H,22,23)",RNWHJFUXZQBBLK-UHFFFAOYSA-N
Day,10082,-9.116553808744367,-8.295091296053693,-9.227486554191904,-2.1265502618910936,-8.78727688239019,-4.195054238766693,CCA,0.9999999999988247,1.1753508861145605e-12,0.9999999999998594,1.502996197087392e-10,depletolite,555080.7335117165,314102.43045312417,599446.2357890784,630844.8414062625,441808.3522382896,857999.3621132858,21,Spectral Match to Lauroyl L-carnitine from NIST14,1,Carbonyl compounds,1,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,C19H37NO4,Good,19,37,1,4,0,0,-1.3684210526315788,99.29999999999998,1,N/A,CHON,"InChI=1S/C19H37NO4/c1-5-6-7-8-9-10-11-12-13-14-19(23)24-17(15-18(21)22)16-20(2,3)4/h17H,5-16H2,1-4H3",FUJLYHJROOYKRA-UHFFFAOYSA-N
Day,10135,-1.9693677960245348,-1.9576184020575933,-2.6465746984801295,-3.055080858732137,-2.138363394111114,-2.1541459844898116,CCA,0.9996178330479137,3.821669520862397e-4,0.9999999999998594,0.008003209205474614,depletolite,808595.7798574031,1048018.7345155898,535381.1681562467,1071500.6487812628,833700.0516005768,618928.0123242177,200,Pentaethylene glycol,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C10H31N17O3,Good,10,31,17,3,0,0,2.6,-13.800000000000011,2,"InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2",CHON,NA,NA
Day,10223,-9.447828814390363,-7.228402861680577,-8.045042144548498,-9.015526102264063,-8.380209461365254,-8.472501090031269,CCA,0.9999999999989477,1.0523121733979755e-12,0.9999999999998594,1.502996197087392e-10,depletolite,698360.8212656392,149956.77164452756,264118.6093203058,517539.8355312454,333191.8867968689,355203.27912500047,1026,Asn Thr Val Arg,2,Carboxylic acid derivatives,0.99,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,C28H46O12,Good,28,46,0,12,0,0,-0.7857142857142856,82.69285714285714,2,N/A,CHO,"InChI=1S/C28H46O12/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(31)37-17-20-23(33)26(36)28(18-30,39-20)40-27-25(35)24(34)22(32)19(16-29)38-27/h3-4,6-7,9-10,19-20,22-27,29-30,32-36H,2,5,8,11-18H2,1H3",YXZLKWYMGZZHKP-UHFFFAOYSA-N
