feature_number,ecoNetConsensus,net_act,Day_CCA,Day_Dictyota,Day_Pocillopora verrucosa,Day_Porites lobata,Day_Turf,Night_CCA,Night_Dictyota,Night_Pocillopora verrucosa,Night_Porites lobata,Night_Turf,Daysum,Nightsum,DayNight_night,activity_night,DayNight_day,activity_day
10003,Lipids and lipid-like molecules;Fatty Acyls,324,NA,NA,5.971685039923964,NA,5.808638558297673,NA,NA,7.027202712778458,NA,NA,11.780323598221637,7.027202712778458,Night,depletolite,Day,recalcitrant
1001,Organic acids and derivatives;Carboximidic acids and derivatives;Carboximidic acids,193,NA,6.338560001152304,6.2776687126473245,6.200807861252143,NA,0,6.023513695577728,5.958191705296594,6.264885796139512,NA,18.817036575051773,18.246591197013835,Night,recalcitrant,Day,recalcitrant
10017,Lipids and lipid-like molecules;Steroids and steroid derivatives;Hydroxysteroids,-10017,NA,NA,NA,NA,NA,NA,NA,7.417459431497775,3.3136987284433896,NA,0,10.731158159941165,Night,recalcitrant,Day,recalcitrant
10017,NA,-10017,NA,NA,NA,NA,NA,NA,NA,7.417459431497775,3.3136987284433896,NA,0,10.731158159941165,Night,recalcitrant,Day,recalcitrant
10019,NA,882,NA,4.009168277607797,NA,NA,NA,NA,NA,NA,NA,NA,4.009168277607797,0,Night,recalcitrant,Day,recalcitrant
10023,NA,-10023,NA,NA,NA,NA,NA,NA,NA,6.9143559801237995,NA,NA,0,6.9143559801237995,Night,recalcitrant,Day,recalcitrant
10036,NA,61,3.1890624244218198,NA,NA,7.147307941318877,NA,NA,NA,NA,NA,NA,10.336370365740697,0,Night,depletolite,Day,recalcitrant
10039,NA,-10039,NA,NA,NA,NA,NA,NA,5.184942337945208,NA,NA,NA,0,5.184942337945208,Night,recalcitrant,NA,NA
10057,NA,-10057,NA,NA,NA,NA,NA,NA,6.509215321227289,NA,NA,NA,0,6.509215321227289,Night,recalcitrant,Day,recalcitrant
10062,NA,65,7.1350584671166715,NA,6.994586804663973,NA,NA,6.420107539468442,6.382464011184088,NA,7.227661675918472,NA,14.129645271780644,20.030233226571003,Night,recalcitrant,Day,recalcitrant
10067,NA,-10067,NA,6.747991228796369,NA,NA,NA,NA,7.457465959879048,5.952431894174758,6.7016906759814585,NA,6.747991228796369,20.111588530035263,Night,recalcitrant,Day,recalcitrant
1007,NA,355,NA,NA,NA,NA,NA,6.373735180865308,6.103142747070988,6.9735646153102815,NA,6.244454044178126,0,25.694896587424704,Night,recalcitrant,Day,recalcitrant
10081,Lipids and lipid-like molecules;Fatty Acyls;Fatty acids and conjugates,945,7.311031803444137,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.311031803444137,0,Night,recalcitrant,Day,recalcitrant
10098,Lipids and lipid-like molecules;Fatty Acyls;Fatty acyl glycosides,-10098,NA,NA,NA,NA,NA,NA,NA,6.214052343248184,NA,NA,0,6.214052343248184,Night,recalcitrant,Day,recalcitrant
10098,NA,-10098,NA,NA,NA,NA,NA,NA,NA,6.214052343248184,NA,NA,0,6.214052343248184,Night,recalcitrant,Day,recalcitrant
10102,Lipids and lipid-like molecules,569,NA,NA,NA,NA,NA,NA,NA,6.499541550414303,NA,NA,0,6.499541550414303,Night,recalcitrant,Day,depletolite
10107,NA,4021,6.0185660234451035,NA,6.620835372756869,6.5252160081358355,3.263504737757214,NA,NA,5.948173418248464,NA,NA,22.428122142095024,5.948173418248464,Night,recalcitrant,Day,depletolite
10109,Organoheterocyclic compounds,1245,5.043832136847471,3.128732683065875,NA,NA,NA,NA,NA,NA,NA,NA,8.172564819913346,0,NA,NA,Day,recalcitrant
10121,Lipids and lipid-like molecules;Fatty Acyls;Eicosanoids,-10121,NA,7.663887078041855,NA,NA,NA,NA,7.455555471532001,NA,NA,NA,7.663887078041855,7.455555471532001,Night,recalcitrant,Day,recalcitrant
10121,NA,-10121,NA,7.663887078041855,NA,NA,NA,NA,7.455555471532001,NA,NA,NA,7.663887078041855,7.455555471532001,Night,recalcitrant,Day,recalcitrant
10129,NA,-10129,NA,NA,NA,NA,NA,NA,NA,6.128766778547487,NA,NA,0,6.128766778547487,Night,recalcitrant,NA,NA
1014,NA,-1014,NA,NA,NA,NA,NA,2.440834526523014,0,0,NA,0,0,2.440834526523014,Night,recalcitrant,NA,NA
10146,NA,61,NA,NA,7.173117187494566,6.767675600350512,NA,NA,NA,NA,NA,NA,13.940792787845078,0,Night,depletolite,Day,recalcitrant
10155,Lipids and lipid-like molecules;Fatty Acyls;Fatty amides,17,NA,NA,6.63951649957847,NA,NA,NA,NA,NA,NA,NA,6.63951649957847,0,Night,depletolite,Day,depletolite
10165,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-10165,6.886109137530161,6.9115466871302615,7.520587963421637,NA,6.903932450748886,6.915491770803037,NA,NA,NA,NA,28.222176238830947,6.915491770803037,Night,recalcitrant,Day,recalcitrant
10165,NA,-10165,6.886109137530161,6.9115466871302615,7.520587963421637,NA,6.903932450748886,6.915491770803037,NA,NA,NA,NA,28.222176238830947,6.915491770803037,Night,recalcitrant,Day,recalcitrant
10167,NA,505,NA,6.373142880438323,NA,NA,NA,NA,NA,NA,NA,NA,6.373142880438323,0,Night,depletolite,Day,recalcitrant
10174,Organic acids and derivatives,437,NA,6.128200453919655,NA,NA,NA,NA,NA,NA,NA,NA,6.128200453919655,0,Night,recalcitrant,Day,depletolite
10199,Organic acids and derivatives,974,NA,NA,NA,NA,NA,NA,6.5816297815488785,NA,NA,NA,0,6.5816297815488785,Night,recalcitrant,Day,recalcitrant
10205,Organic acids and derivatives,155,NA,NA,7.708232855037549,NA,NA,NA,NA,NA,NA,NA,7.708232855037549,0,Night,depletolite,Day,depletolite
10209,Organic acids and derivatives,437,NA,6.083517590207447,NA,NA,NA,NA,NA,NA,NA,NA,6.083517590207447,0,Night,recalcitrant,Day,depletolite
10222,NA,-10222,NA,NA,NA,NA,NA,NA,5.510436744717053,NA,NA,NA,0,5.510436744717053,Night,recalcitrant,NA,NA
10228,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",72,NA,6.490667458295432,NA,NA,NA,NA,NA,NA,NA,NA,6.490667458295432,0,Night,recalcitrant,Day,recalcitrant
10231,NA,-10231,NA,NA,7.170876663805686,6.452635307443394,NA,NA,NA,NA,NA,NA,13.62351197124908,0,Night,recalcitrant,Day,recalcitrant
10240,NA,20,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Night,recalcitrant,Day,recalcitrant
10247,NA,-10247,NA,7.210617149718479,NA,NA,NA,NA,NA,NA,NA,NA,7.210617149718479,0,Night,recalcitrant,Day,recalcitrant
10250,NA,256,NA,6.039269370991075,NA,NA,NA,NA,NA,NA,NA,NA,6.039269370991075,0,NA,NA,Day,recalcitrant
10263,NA,-10263,NA,7.435273713652112,NA,NA,NA,NA,7.562147823521643,NA,NA,NA,7.435273713652112,7.562147823521643,Night,recalcitrant,Day,recalcitrant
