feature_number,DayNight,CCA_log2_change,CCA_log2_sizing,CCA_xic,Dictyota_log2_change,Dictyota_log2_sizing,Dictyota_xic,Pocillopora verrucosa_log2_change,Pocillopora verrucosa_log2_sizing,Pocillopora verrucosa_xic,Porites lobata_log2_change,Porites lobata_log2_sizing,Porites lobata_xic,Turf_log2_change,Turf_log2_sizing,Turf_xic,Water control_log2_change,Water control_log2_sizing,Water control_xic,Organism,post_filtering,network,net_act,net_activity,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
10000,Day,1.3074572530123165,-3.5139038554981092,297179.2946406241,0.5588611122741581,-3.5139038554981092,341393.2023281201,-1.1079304940449168,-3.5139038554981092,562421.7264003902,-0.43070933959162794,-3.5139038554981092,407649.2715937501,-1.3053817113754231,-3.5139038554981092,784962.6508046881,-3.5139038554981092,-3.5139038554981092,331001.6960527352,NA,NA,220,220,recalcitrant,NA,NA,NA,NA,NA
10003,Day,-4.398214817942605,-4.398214817942605,474951.54808594286,1.3670966905346134,-4.398214817942605,343079.3033085938,3.578485424100744,-4.398214817942605,1033165.8930146536,-1.5771042944139118,-4.398214817942605,1705138.7826445275,3.7753554110387597,-4.398214817942605,649831.5170000037,-3.5036885471581396,-4.398214817942605,1315640.596164065,"Pocillopora verrucosa, Turf",1,324,324,accumolite,Fatty Acyls,0.7272727272727273,class,11,Insilico
10007,Day,-6.6,-6.6,111136.6771171907,-3.0596599386043377,-6.6,310595.9550781349,-6.6,-6.6,188346.3552539113,-6.6,-6.6,209938.6711171906,-6.6,-6.6,70620.73897265938,-6.6,-6.6,68120.87977148323,NA,NA,5794,5794,NA,Fatty Acyls,1.1,class,3,Insilico
10008,Day,1.1216026777781893,-1.7329360182375804,3810905.6287031462,-1.7329360182375804,-1.7329360182375804,10673604.61829684,-0.6368439230563917,-1.7329360182375804,4076366.9161328217,-1.4007994694289982,-1.7329360182375804,3753776.580632818,-0.5803701382997248,-1.7329360182375804,3652155.986812518,-0.1874691623815209,-1.7329360182375804,3051397.2670390448,NA,NA,72,72,recalcitrant,"Amino acids, peptides, and analogues",0.8058823529411765,subclass,17,Insilico
1001,Day,0,-6.6,0,-6.6,-6.6,2191419.0485312855,-6.6,-6.6,1900755.5518749505,-4.097986487376786,-6.6,1627592.5219999417,0,-6.6,0,6.6,-6.6,0,"Dictyota, Porites lobata, Pocillopora verrucosa",1,193,193,depletolite,Carboximidic acids,1,subclass,1,Library
10013,Day,0.9673658147475055,-6.6,133044.82317187413,-3.222217601644195,-6.6,194769.0341464884,-6.6,-6.6,24419.51396581936,-6.6,-6.6,87550.9643759772,-2.164624696828106,-6.6,83725.20683203038,-6.6,-6.6,25286.710517577972,NA,NA,-1,-10013,NA,NA,NA,NA,NA,NA
10014,Day,3.0923065390631654,-6.6,43104.58491796949,-5.32094217889883,-6.6,883602.5364892427,-2.62118470793806,-6.6,346760.73229003383,-6.6,-6.6,7008.2943691405035,3.3,-6.6,0,-6.6,-6.6,56233.28549804706,NA,NA,-1,-10014,NA,NA,NA,NA,NA,NA
10015,Day,0,-2.1067058445056004,0,0,-2.1067058445056004,0,0,-2.1067058445056004,0,3.3,-2.1067058445056004,0,-1.6410704114509098,-2.1067058445056004,88245.70848437201,-2.1067058445056004,-2.1067058445056004,47235.3368847658,NA,NA,-1,-10015,NA,NA,NA,NA,NA,NA
10017,Day,-0.12639583366184853,-0.6717346341843806,3608681.894468763,0.10378060853528942,-0.6717346341843806,3400614.470437499,-0.049865585560931236,-0.6717346341843806,3000238.9768125266,-0.6717346341843806,-0.6717346341843806,3895304.253312517,-0.4047122237025673,-0.6717346341843806,4079861.5857812925,0.6477136357847928,-0.6717346341843806,3042782.995445339,NA,NA,-1,-10017,NA,NA,NA,NA,NA,NA
10018,Day,-0.6515219086517272,-0.6928221648688749,228207.09582129066,-0.4875155092390864,-0.6928221648688749,419747.7332089846,0.8586395945937381,-0.6928221648688749,98648.210394531,-0.6928221648688749,-0.6928221648688749,291348.80260058574,-0.161503582509894,-0.6928221648688749,443848.3196669936,0.5209269710779006,-0.6928221648688749,206008.22316406254,NA,NA,-1,-10018,NA,NA,NA,NA,NA,NA
10019,Day,0.5559744317587495,-5.3123922919330155,2470252.1545937825,-5.3123922919330155,-5.3123922919330155,52156273.66203128,-0.8324502099836691,-5.3123922919330155,4715051.565374982,-2.4984540040856236,-5.3123922919330155,1763581.8922656344,0.2729808347067392,-5.3123922919330155,2628750.048734392,0.12032957151802048,-5.3123922919330155,2675783.465718762,Dictyota,1,882,882,recalcitrant,Benzenoids,0.6,superclass,6,Insilico
10023,Day,2.119470162462086,-0.8801153369861874,3331654.437339862,-0.8801153369861874,-0.8801153369861874,8402283.96071874,-0.31638358521847515,-0.8801153369861874,3900753.5474453107,0.9077549141603043,-0.8801153369861874,28937870.271583974,0.3863577361348205,-0.8801153369861874,3003318.3997968705,2.2118848349924605,-0.8801153369861874,3151679.5735078175,NA,NA,-1,-10023,NA,NA,NA,NA,NA,NA
10025,Day,-0.40441991546424055,-0.8628631473411605,195310.45177734207,1.7000713293324687,-0.8628631473411605,45881.100191407255,0.3832143499127688,-0.8628631473411605,96450.15319775572,-0.8628631473411605,-0.8628631473411605,295954.1145117192,-0.38677330159597034,-0.8628631473411605,189862.91839404398,1.136530277240269,-0.8628631473411605,196765.73612841946,NA,NA,-1,-10025,NA,NA,NA,NA,NA,NA
10027,Day,-6.6,-6.6,403082.9407734389,-3.4572250809094025,-6.6,242969.21539062815,-4.277698619965242,-6.6,287912.09091992583,0.07669007902185279,-6.6,142715.8560039075,0.972540829583409,-6.6,106836.57419140753,-3.01931925353309,-6.6,66814.32797265734,NA,NA,2478,2478,NA,NA,NA,NA,NA,NA
10030,Day,-6.6,-6.6,83884.49386425765,-6.6,-6.6,138048.0407700225,0.48404364583131143,-6.6,40862.69732861411,-1.999275774280005,-6.6,204641.22311718838,-4.358747654936706,-6.6,112622.14028466603,-4.807698513992148,-6.6,375443.3269599642,NA,NA,7,7,recalcitrant,NA,NA,NA,NA,NA
10031,Day,0.40298664968721054,-6.6,3198632.009953138,-1.0946365187166318,-6.6,5767417.358734367,-0.2117918299417626,-6.6,1705825.6349375015,-0.015788263106759737,-6.6,1568459.5415312583,-2.3441464969378596,-6.6,932047.642742194,-6.6,-6.6,1749320.692906255,NA,NA,4279,4279,NA,NA,NA,NA,NA,NA
10032,Day,-0.6030090712078378,-6.6,50108.37209838758,-4.821997859943945,-6.6,105505.75258593867,-6.6,-6.6,61497.827028808155,-6.6,-6.6,29406.86244335963,-6.6,-6.6,44588.50281811644,-3.7675409883162465,-6.6,30316.855011231164,NA,NA,198,198,recalcitrant,Lineolic acids and derivatives,1,subclass,2,Library
10034,Day,-2.0392038174493314,-3.7213111726162516,34077826.09875001,0.28160429765934636,-3.7213111726162516,24554408.152280957,2.2514457084813464,-3.7213111726162516,2063111.649367165,-2.058980201765639,-3.7213111726162516,15403095.989960928,-0.41017163615613145,-3.7213111726162516,2090871.6309296938,-3.7213111726162516,-3.7213111726162516,30540809.123451117,NA,NA,165,165,recalcitrant,Fatty Acyls,1,class,2,Library
10035,Day,-2.4272587246325177,-2.477673715469896,10279124.359644534,-2.477673715469896,-2.477673715469896,18877883.97777345,-1.6003252997783695,-2.477673715469896,3071634.317582026,-0.46566590742863806,-2.477673715469896,2264505.6819101614,-1.395164796584982,-2.477673715469896,4703928.231539069,-0.32788423258456784,-2.477673715469896,2012578.4689765624,NA,NA,1351,1351,NA,"Amino acids, peptides, and analogues",0.85,subclass,4,Insilico
10036,Day,-3.563440004614284,-6.6,1194248.4089218883,-6.6,-6.6,672937.6135678728,6.6,-6.6,0,-2.389160714716041,-6.6,14586382.807140622,3.3,-6.6,0,1.423701667421513,-6.6,32316.024556641954,"CCA, Porites lobata",1,61,61,recalcitrant,NA,NA,NA,NA,NA
10037,Day,-6.6,-6.6,44876.510859377144,0,-6.6,0,0,-6.6,0,3.3,-6.6,0,0,-6.6,0,3.3,-6.6,0,NA,NA,-1,-10037,NA,NA,NA,NA,NA,NA
10039,Day,2.7812294279170495,-3.743430234547162,97253.32894726456,-3.743430234547162,-3.743430234547162,304116.93009179295,3.3,-3.743430234547162,0,-3.641450827460042,-3.743430234547162,124908.5067890627,-2.328561939675467,-3.743430234547162,53952.961511719055,-3.6563527946300476,-3.743430234547162,96539.69273437331,NA,NA,-1,-10039,NA,NA,NA,NA,NA,NA
1004,Day,-0.49850308954293787,-0.6610815812321571,72301194.09624779,-0.6610815812321571,-0.6610815812321571,97789350.9478463,-0.5105473524199675,-0.6610815812321571,100787317.41368528,-0.12066585346036496,-0.6610815812321571,98310836.04251537,-0.012168842686540955,-0.6610815812321571,104681753.16474675,0.029401007528280412,-0.6610815812321571,128989033.95763373,NA,NA,-1,-1004,NA,NA,NA,NA,NA,NA
10041,Day,2.2632670585858725,-4.036732926211066,35579.63671777382,-1.423310961324467,-4.036732926211066,425623.7785390628,-1.9973101133408375,-4.036732926211066,251373.2962402326,-4.036732926211066,-4.036732926211066,73380.16558495925,-0.41669416704848855,-4.036732926211066,55060.651080077805,-3.6165449159372534,-4.036732926211066,35176.75049414136,NA,NA,789,789,NA,Organic acids and derivatives,0.7086956521739131,superclass,23,Insilico
10042,Day,-4.777415230608615,-5.151193561532153,697500.1057519619,-3.7237084883577563,-5.151193561532153,254733.85934765515,-0.531383839853651,-5.151193561532153,336960.0605332081,-1.0799396245634978,-5.151193561532153,446622.3121640554,-5.151193561532153,-5.151193561532153,1238867.2062304667,-4.575269732751627,-5.151193561532153,372056.4461093695,NA,NA,5231,5231,NA,"Amino acids, peptides, and analogues",1.1,subclass,2,Insilico
10046,Day,-0.6940995951821565,-5.155366971052928,526299.5418359428,-2.8573799727365765,-5.155366971052928,1145031.436785154,-4.640748363550284,-5.155366971052928,791465.1180000068,-5.155366971052928,-5.155366971052928,967528.8745937492,-4.916310463218574,-5.155366971052928,625070.0714599652,-2.232062401151135,-5.155366971052928,371387.78731152083,NA,NA,814,814,recalcitrant,Lipids and lipid-like molecules,0.6384615384615384,superclass,26,Insilico
10047,Day,-3.2848853189008267,-6.6,1107413.0407656168,-5.356049650755308,-6.6,1842019.1552226613,-3.0779198419627773,-6.6,1329521.3466211148,-4.987488507710976,-6.6,963892.9495332176,-4.3706740961174315,-6.6,1037353.5475039063,-6.6,-6.6,746876.3170781359,NA,NA,2917,2917,NA,Organic acids and derivatives,1.1,superclass,2,Insilico
10048,Day,3.3,-2.917852630074816,0,-2.917852630074816,-2.917852630074816,79830.08457031145,0.41784877725173863,-2.917852630074816,61891.665429688175,0,-2.917852630074816,0,0,-2.917852630074816,0,3.3,-2.917852630074816,0,NA,NA,407,407,NA,Hydroxyindoles,1,subclass,1,Library
10049,Day,-6.6,-6.6,554986.5745214801,-0.7693529838361769,-6.6,934832.0939550807,-1.8898236938812982,-6.6,848397.6158554732,1.4277431198094246,-6.6,233399.7488964821,0.45241022697137945,-6.6,380825.976806642,1.856603146726457,-6.6,203142.91346094,NA,NA,434,434,depletolite,Lipids and lipid-like molecules,0.582089552238806,superclass,67,Insilico
10051,Day,2.1742237730291216,-4.3029376231313154,42032.32552929667,-4.3029376231313154,-4.3029376231313154,474940.59339062625,-4.221641896967212,-4.3029376231313154,401527.91456249857,-4.053939223748228,-4.3029376231313154,95041.93409667764,-0.3088698108558776,-4.3029376231313154,60143.6742343739,-1.1324702894957255,-4.3029376231313154,62739.15543261823,NA,NA,789,789,NA,Organic acids and derivatives,0.7086956521739131,superclass,23,Insilico
10056,Day,3.063684585064261,-1.1586830735343607,6532104.387500016,0.18698209209465178,-1.1586830735343607,33542309.29280467,2.0731581842428426,-1.1586830735343607,5713171.520843837,2.060775929751318,-1.1586830735343607,3859659.357093828,-0.15196264575879742,-1.1586830735343607,10862967.470937468,-1.1586830735343607,-1.1586830735343607,15180165.171906231,NA,NA,1216,1216,recalcitrant,NA,NA,NA,NA,NA
10057,Day,1.1224808610426353,-2.11303996412586,4030062.063984363,-0.41852424502290597,-2.11303996412586,4206152.228781192,-2.11303996412586,-2.11303996412586,4035302.368199231,-1.506745539319343,-2.11303996412586,2581431.390812522,-0.46592994715025493,-2.11303996412586,1192480.5882499763,0.6390037865779781,-2.11303996412586,1225738.8626914534,NA,NA,-1,-10057,NA,NA,NA,NA,NA,NA
10062,Day,-3.293928933229365,-3.9574424320953527,26700340.924867187,-0.5386994925722703,-3.9574424320953527,3087802.953156262,-3.9574424320953527,-3.9574424320953527,37223592.31012502,2.682020417869582,-3.9574424320953527,2696313.649531247,-0.0972748296193324,-3.9574424320953527,2042855.054460942,2.3088888334939806,-3.9574424320953527,2057924.0166328216,"CCA, Pocillopora verrucosa",1,65,65,recalcitrant,NA,NA,NA,NA,NA
