Organism,network,molnet_string,modeled_lability,activity,log2_change,N,P,C,NOSC
CCA,77,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-635.88715783617,depletolite,-11.36762284281431,0,0,20,-1.2000000000000002
CCA,80,"Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-285.30897332552627,depletolite,-2.0829205230541694,1.5714285714285714,0.2857142857142857,17.928571428571427,-0.6500927643784787
CCA,167,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,-458.32375304404917,depletolite,-4.694190655295434,0,0,18,-1.1111111111111107
CCA,427,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-2.98376363752753,depletolite,-2.515179597295047,1,0,20,-1.0451127819548875
CCA,923,Organic compounds;Benzenoids;Benzene and substituted derivatives;nan,-243.14367706684263,depletolite,1.8256581121392528,0,0,10,-0.7999999999999998
CCA,1018,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,-3.2918875976134627,depletolite,-1.8124044776491286,2,1.3333333333333333,17,-1.6813897488820089
CCA,1291,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Carbohydrates and carbohydrate conjugates,-2.450075053025688,depletolite,-3.999817892096411,1,0,19,-1.1578947368421053
CCA,1370,Organic compounds;Organoheterocyclic compounds;Pyrans;Pyranones and derivatives,-3.2226495338762637,depletolite,-4.484390958355075,1,1,7,-1.8571428571428568
CCA,1827,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;nan,-3.920532140383105,depletolite,-7.751125019114772,2,0,17,-0.35294117647058787
CCA,2586,Organic compounds;Organoheterocyclic compounds;Benzene and substituted derivatives;nan,-389.419337596129,depletolite,-1.1441316295926514,0,2,12,-1
CCA,3585,Organic compounds;Organoheterocyclic compounds;Pyrrolidines;nan,-2.7467711229916896,depletolite,-1.4967786501661502,1,0,16,-1.625
CCA,4021,Organic compounds;Phenylpropanoids and polyketides;Macrolides and analogues;nan,-3.685890281561764,depletolite,-6.397482220395153,5,0,22,-0.2727272727272725
Dictyota,17,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-3.979785699544422,depletolite,-2.2181382784675154,1.6,0.8,17,-1.3744677544677544
Dictyota,21,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,-3.4700151094412077,depletolite,-6.240031074633809,1,0,12.75,-1.012987012987013
Dictyota,59,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Triterpenoids,-5.400319008859859,depletolite,-0.9387008418908155,8,1,19,-0.9473684210526319
Dictyota,77,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-758.1007857734256,depletolite,1.476053101722696,0,0,20,-0.5999999999999996
Dictyota,80,"Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-165.19828986201432,depletolite,-2.203770760873864,1.5,0.25,17.5,-0.6535714285714287
Dictyota,87,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,-2.7000158311718314,depletolite,3.445742280098913,1,0,15,-0.40000000000000036
Dictyota,167,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,-184.987694488259,depletolite,-4.2116953466249765,0.6666666666666666,0,20.666666666666668,-1.0939393939393938
Dictyota,193,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty amides,-2.630235475604919,depletolite,-11.094048331572068,1,0,18,-1.5555555555555554
Dictyota,200,Organic compounds;Lipids and lipid-like molecules;Glycerophospholipids;nan,-6.7716679331266,depletolite,-11.417357892321942,4,0,28,-1.25
Dictyota,212,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Glycerophosphoethanolamines,-4.525718947037767,depletolite,-9.195430479335897,8,0.5,22.5,-0.9672619047619047
Dictyota,231,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-4.7064326995662356,depletolite,-2.58335309099058,4,0,36,-0.30555555555555536
Dictyota,280,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,-5.581276587606706,depletolite,-2.330250736733677,1,0,19,-1.0526315789473681
Dictyota,336,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,-102.2963753931472,depletolite,-3.0460898406175736,1.3333333333333333,0,16,-0.9093162393162393
Dictyota,427,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-171.24331650781915,depletolite,-2.511071871229858,0.6666666666666666,0,19.333333333333332,-0.9930381509328882
Dictyota,490,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,-4.278764240823127,depletolite,-0.14867388359757439,2,1,15,-1.5999999999999996
Dictyota,550,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-4.292029838388109,depletolite,-2.0888402341418355,2,1.5,11,-1.8952380952380952
Dictyota,659,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Sesquiterpenoids,-4.0841189368391735,depletolite,-6.352477324532694,5,0,24,-0.7916666666666665
Dictyota,709,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-2.6010463172473672,depletolite,-2.3345387834610243,1,0,7,-0.2857142857142856
Dictyota,923,Organic compounds;Benzenoids;Benzene and substituted derivatives;nan,-243.14367706684263,depletolite,-2.738398492938068,0,0,10,-0.7999999999999998
Dictyota,980,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;Triterpenoids,-4.297474059570834,depletolite,-3.321695492432862,2,0,25.333333333333332,-1.3811063627730296
