superclass,class,subclass,DayNight,Organism,xic
Benzenoids,No Consensus Reached,No Consensus Reached,Day,Pocillopora verrucosa,44765444.7745078
Benzenoids,No Consensus Reached,No Consensus Reached,Day,Porites lobata,14310899.841742188
Benzenoids,No Consensus Reached,No Consensus Reached,Day,Turf,29572783.69025
Benzenoids,No Consensus Reached,No Consensus Reached,Night,CCA,1953986.4728398481
Benzenoids,No Consensus Reached,No Consensus Reached,Night,Dictyota,6439742.783343755
Benzenoids,No Consensus Reached,No Consensus Reached,Night,Pocillopora verrucosa,11301952.317722619
Benzenoids,Benzene and substituted derivatives,Phenylmethylamines,Night,CCA,45475455.68923637
Benzenoids,Benzene and substituted derivatives,Phenylmethylamines,Night,Pocillopora verrucosa,17050567.43031643
Benzenoids,Benzene and substituted derivatives,Phenylmethylamines,Night,Porites lobata,37809472.35941407
Benzenoids,Benzene and substituted derivatives,Phenylpropanes,Night,CCA,5294572.656093751
Benzenoids,Benzene and substituted derivatives,Phenylpropanes,Night,Pocillopora verrucosa,6059106.233312476
Benzenoids,Benzene and substituted derivatives,Phenylpropanes,Night,Turf,5832054.8391289245
Benzenoids,Phenols,Methoxyphenols,Night,CCA,5468036.87482225
"Lignans, neolignans and related compounds",Dibenzylbutane lignans,Dibenzylbutanediol lignans,Day,Pocillopora verrucosa,5459719.569017584
Lipids and lipid-like molecules,No Consensus Reached,No Consensus Reached,Day,CCA,53815197.6292618
Lipids and lipid-like molecules,No Consensus Reached,No Consensus Reached,Day,Dictyota,371066989.6790201
Lipids and lipid-like molecules,No Consensus Reached,No Consensus Reached,Day,Pocillopora verrucosa,316825493.0257926
Lipids and lipid-like molecules,No Consensus Reached,No Consensus Reached,Day,Porites lobata,117899416.88717362
Lipids and lipid-like molecules,No Consensus Reached,No Consensus Reached,Day,Turf,77937755.32640228
Lipids and lipid-like molecules,No Consensus Reached,No Consensus Reached,Night,CCA,585722068.6931638
Lipids and lipid-like molecules,No Consensus Reached,No Consensus Reached,Night,Dictyota,565323510.7174271
