ecoNetConsensus,Replicate,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf
0,1,-0.4594044522517976,-0.6771563355046397,1.9375163804187616,-0.45373280284514045,-0.3472227898171835
0,2,-0.4594044522517976,-0.6771563355046397,1.9375163804187616,-0.45373280284514045,-0.3472227898171835
0,3,-0.4594044522517976,-0.6771563355046397,1.9375163804187616,-0.45373280284514045,-0.3472227898171835
0,4,-0.4594044522517976,-0.6771563355046397,1.9375163804187616,-0.45373280284514045,-0.3472227898171835
Benzenoids,1,-0.9938896449279995,-0.9938896449279995,1.5155491313987648,-0.19165642312279382,0.6638865815800284
Benzenoids,2,-0.9938896449279995,-0.9938896449279995,1.5155491313987648,-0.19165642312279382,0.6638865815800284
Benzenoids,3,-0.9938896449279995,-0.9938896449279995,1.5155491313987648,-0.19165642312279382,0.6638865815800284
Benzenoids,4,-0.9938896449279995,-0.9938896449279995,1.5155491313987648,-0.19165642312279382,0.6638865815800284
"Lignans, neolignans and related compounds;Dibenzylbutane lignans;Dibenzylbutanediol lignans",1,-0.48733971724044817,-0.48733971724044817,1.9493588689617927,-0.48733971724044817,-0.48733971724044817
"Lignans, neolignans and related compounds;Dibenzylbutane lignans;Dibenzylbutanediol lignans",2,-0.48733971724044817,-0.48733971724044817,1.9493588689617927,-0.48733971724044817,-0.48733971724044817
"Lignans, neolignans and related compounds;Dibenzylbutane lignans;Dibenzylbutanediol lignans",3,-0.48733971724044817,-0.48733971724044817,1.9493588689617927,-0.48733971724044817,-0.48733971724044817
"Lignans, neolignans and related compounds;Dibenzylbutane lignans;Dibenzylbutanediol lignans",4,-0.48733971724044817,-0.48733971724044817,1.9493588689617927,-0.48733971724044817,-0.48733971724044817
Lipids and lipid-like molecules,1,-0.7010188456169368,-0.37223613899045965,1.8902046889849555,-0.08179790249889893,-0.7351518018786599
Lipids and lipid-like molecules,2,-0.7010188456169368,-0.37223613899045965,1.8902046889849555,-0.08179790249889893,-0.7351518018786599
Lipids and lipid-like molecules,3,-0.7010188456169368,-0.37223613899045965,1.8902046889849555,-0.08179790249889893,-0.7351518018786599
Lipids and lipid-like molecules,4,-0.7010188456169368,-0.37223613899045965,1.8902046889849555,-0.08179790249889893,-0.7351518018786599
Lipids and lipid-like molecules;Fatty Acyls,1,-0.8870502637611678,-0.48876790556584215,1.88888106782461,-0.3677953399690228,-0.14526755852857723
Lipids and lipid-like molecules;Fatty Acyls,2,-0.8870502637611678,-0.48876790556584215,1.88888106782461,-0.3677953399690228,-0.14526755852857723
Lipids and lipid-like molecules;Fatty Acyls,3,-0.8870502637611678,-0.48876790556584215,1.88888106782461,-0.3677953399690228,-0.14526755852857723
Lipids and lipid-like molecules;Fatty Acyls,4,-0.8870502637611678,-0.48876790556584215,1.88888106782461,-0.3677953399690228,-0.14526755852857723
Lipids and lipid-like molecules;Fatty Acyls;Fatty acid esters,1,-0.7023216632010764,-0.48311498639210193,1.7793692330800381,0.2864766646911732,-0.8804092481780332
Lipids and lipid-like molecules;Fatty Acyls;Fatty acid esters,2,-0.7023216632010764,-0.48311498639210193,1.7793692330800381,0.2864766646911732,-0.8804092481780332
Lipids and lipid-like molecules;Fatty Acyls;Fatty acid esters,3,-0.7023216632010764,-0.48311498639210193,1.7793692330800381,0.2864766646911732,-0.8804092481780332
Lipids and lipid-like molecules;Fatty Acyls;Fatty acid esters,4,-0.7023216632010764,-0.48311498639210193,1.7793692330800381,0.2864766646911732,-0.8804092481780332
Lipids and lipid-like molecules;Fatty Acyls;Fatty amides,1,-1.0946746444756492,1.220117486376218,0.929016070820435,0.04021573175464546,-1.0946746444756492
Lipids and lipid-like molecules;Fatty Acyls;Fatty amides,2,-1.0946746444756492,1.220117486376218,0.929016070820435,0.04021573175464546,-1.0946746444756492
Lipids and lipid-like molecules;Fatty Acyls;Fatty amides,3,-1.0946746444756492,1.220117486376218,0.929016070820435,0.04021573175464546,-1.0946746444756492
Lipids and lipid-like molecules;Fatty Acyls;Fatty amides,4,-1.0946746444756492,1.220117486376218,0.929016070820435,0.04021573175464546,-1.0946746444756492
