feature_number,network,activity,num_features,DayNight,quadrant,min_nosc,max_nosc,min_log2,max_log2,molnet_string,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,Water control
10155,17,depletolite,40,Day,4,-2.3076923076923075,1,-15.471132147349733,11.570922542350724,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,-12.086708044037405,NA,NA,NA
10464,17,depletolite,40,Day,2,-2.3076923076923075,1,-15.471132147349733,11.570922542350724,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-2.616942955747347,-3.2932488333677474,-1.2570334066928635,NA,-0.6051077367606497,NA
10464,17,depletolite,40,Day,4,-2.3076923076923075,1,-15.471132147349733,11.570922542350724,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,NA,-3.757813719110162,NA,NA
10752,17,depletolite,40,Day,2,-2.3076923076923075,1,-15.471132147349733,11.570922542350724,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,-2.6900100836228757,-2.2819751537504813,NA,-0.22344929470714237
10752,17,depletolite,40,Day,4,-2.3076923076923075,1,-15.471132147349733,11.570922542350724,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,-9.792699148688573,NA,NA,NA,NA
10898,17,depletolite,40,Day,2,-2.3076923076923075,1,-15.471132147349733,11.570922542350724,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-2.3841179474843024,NA,NA,NA,NA,-0.1692029186463863
10898,17,depletolite,40,Day,4,-2.3076923076923075,1,-15.471132147349733,11.570922542350724,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,-4.474812577110731,NA,NA,NA,NA
11169,17,depletolite,40,Day,4,-2.3076923076923075,1,-15.471132147349733,11.570922542350724,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-7.610478659845095,-7.5185627871655285,-11.756867501899556,-5.270640987251053,-5.650967368748033,-6.766950752363243
11263,17,depletolite,40,Day,2,-2.3076923076923075,1,-15.471132147349733,11.570922542350724,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-1.5463933468168014,-2.865369974646716,NA,NA,NA,NA
11263,17,depletolite,40,Day,4,-2.3076923076923075,1,-15.471132147349733,11.570922542350724,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",NA,NA,-7.908644150552128,NA,NA,NA
12095,17,depletolite,40,Day,2,-2.3076923076923075,1,-15.471132147349733,11.570922542350724,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-2.159758392270986,NA,NA,NA,-0.06550071770733869,NA
12387,17,depletolite,40,Day,2,-2.3076923076923075,1,-15.471132147349733,11.570922542350724,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-1.5904288675434577,NA,NA,NA,NA,-1.4386309499620582
