DayNight,feature_number,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,Water control,Organism,greater,lesser,FDR_greater,FDR_lesser,activity,network,combined_ID,binary_ID,canopus_annotation,canopus_probability,chemontid,level,SUBCLASS,CHEMONT_STRING,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,ZodiacMF,characterization scores,C,H,N,O,P,S,NOSC,dG,inchi_binary,inchi_combined,simplified_makeup,inchi,inchi_key
Day,10035,-2.2348847429842555,-2.466035123426695,-0.9502920807511118,-0.3039695485898402,-0.6430678668363708,0.037205991944567376,Dictyota,0.9999943931119444,5.606888055662492e-6,0.9999999384831213,0.027493599371831743,depletolite,1351,.gamma.-Glutamyl-(S)-allyl-L-cysteine,2,Carbonyl compounds,1,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,C13H15NO3,Good,13,15,1,3,0,0,-0.4615384615384617,73.45384615384616,2,"InChI=1S/C11H18N2O5S/c1-2-5-19-6-8(11(17)18)13-9(14)4-3-7(12)10(15)16/h2,7-8H,1,3-6,12H2,(H,13,14)(H,15,16)(H,17,18)/t7-,8-/m0/s1",CHON,"InChI=1S/C13H15NO3/c15-12(14-11-8-9-17-13(11)16)7-6-10-4-2-1-3-5-10/h1-5,11H,6-9H2,(H,14,15)",RUQJSJHHSDXJNE-UHFFFAOYSA-N
Day,10310,-0.1711128905386046,-1.1058660279149342,-0.36144086607879206,-1.6944788038834728,-4.4805851378030654,-1.6609863933898934,Dictyota,0.9994511371691505,5.48862830849553e-4,0.9999999384831213,0.04730044159108539,depletolite,431,Organoheterocyclic compounds#Phenylpropanoids and polyketides,3,6-aminopurines,1,CHEMONTID:0002987,5,CHEMONTID:0000245,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001797;CHEMONTID:0000245;CHEMONTID:0002987,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,6-aminopurines,NA,NA,NA,C21H45N9O5P2,Bad quality,21,45,9,5,2,0,-0.8571428571428568,84.72857142857141,3,N/A,uncharacterized,NA,NA
Day,10369,0.2562803025312506,-3.0936796871484398,0.503162432154785,-0.7303440739717353,-0.5220543006432036,1.060391686576732,Dictyota,0.9994182485652314,5.817514347685984e-4,0.9999999384831213,0.047891141927414234,depletolite,2233,Benzenoids#Organoheterocyclic compounds#Alkaloids and derivatives#Lipids and lipid-like molecules#Phenylpropanoids and polyketides,3,Primary amines,0.99,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,C15H25N7O7,Good,15,25,7,7,0,0,0.6666666666666665,41.3,3,N/A,CHON,"InChI=1S/C15H25N7O7/c1-8(15(29)21-6-13(27)18-3-10(16)24)22-14(28)7-20-12(26)5-19-11(25)4-17-9(2)23/h8H,3-7H2,1-2H3,(H2,16,24)(H,17,23)(H,18,27)(H,19,25)(H,20,26)(H,21,29)(H,22,28)",KTTKTRPGIPHOHS-UHFFFAOYSA-N
Day,10370,0.33168434282432363,-1.5771075741118294,1.9023223785869638,1.0439137565631014,8.332769844848352,1.0740329127788155,Dictyota,0.9997975572191957,2.024427808042483e-4,0.9999999384831213,0.03565516375147555,depletolite,247,Organoheterocyclic compounds,3,Monosaccharide phosphates,1,CHEMONTID:0001541,6,CHEMONTID:0001540,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0000011;CHEMONTID:0001540;CHEMONTID:0001541,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Monosaccharide phosphates,NA,NA,C19H43N3O10P2,Low probability,19,43,3,10,2,0,-1.2631578947368425,96.30000000000001,3,N/A,uncharacterized,NA,NA
Day,10597,-4.662916146039823,-2.835859339201292,-2.4088414038836903,-10.704933716333663,7.810647404740687,-9.935989420913753,Dictyota,0.9996367582050768,3.632417949231992e-4,0.9999999384831213,0.04243956265515369,depletolite,480,7-Hydroxycoumarinyl .gamma.-linolenate,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C22H34N2O6,Good,22,34,2,6,0,0,-0.7272727272727275,81.02727272727273,1,"InChI=1S/C27H34O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-26(28)30-24-20-18-23-19-21-27(29)31-25(23)22-24/h6-7,9-10,12-13,18-22H,2-5,8,11,14-17H2,1H3/b7-6-,10-9-,13-12-",CHON,NA,NA
Day,10663,0.11128534419337711,-2.2814765177622087,-2.5054871626227775,0.08009103284624706,1.7531780674577504,0.6563042762071049,Dictyota,0.9997426793795952,2.573206204048086e-4,0.9999999384831213,0.038790081498686874,depletolite,608,Alkaloids and derivatives#Phenylpropanoids and polyketides,3,Carbonyl compounds,0.95,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,C23H33N2O5,Bad quality,23,33,2,5,0,0,-0.7391304347826084,81.36521739130434,3,N/A,uncharacterized,"InChI=1S/C23H33N2O5/c1-11-29-19(26)16-13(2)24-14(3)17(20(27)30-21(4,5)6)18(16)15-12-22(7,8)25(28)23(15,9)10/h12H,11H2,1-10H3",KLOVRGVJXDKOCC-UHFFFAOYSA-N
Day,10677,0.25988134336007357,-4.017413380149893,-0.30669124461950964,-0.6093718007418704,0.46195331824361385,0.003281142906008573,Dictyota,0.9995374221816364,4.6257781836349013e-4,0.9999999384831213,0.045286031843690434,depletolite,-1,Ginkgotoxin,2,6-aminopurines,0.96,CHEMONTID:0002987,5,CHEMONTID:0000245,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001797;CHEMONTID:0000245;CHEMONTID:0002987,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,6-aminopurines,NA,NA,NA,C14H19N8O3P,Low probability,14,19,8,3,1,0,0.4285714285714284,48.08571428571429,2,"InChI=1S/C9H13NO3/c1-6-9(12)8(5-13-2)7(4-11)3-10-6/h3,11-12H,4-5H2,1-2H3",uncharacterized,NA,NA
Day,10684,0.5308132434812468,-3.858372062573539,-0.4537566256717973,-0.1797262708274831,-0.21980321052264673,0.19824933585270213,Dictyota,0.9998834014953628,1.1659850463726309e-4,0.9999999384831213,0.03207851128761763,depletolite,-1,Primary amines,N/A,Primary amines,0.96,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,C16H27NO8,Bad quality,16,27,1,8,0,0,-0.5,74.55,3,N/A,uncharacterized,"InChI=1S/C16H27NO8/c1-8(2)7-10(18)13(19)17-12(16(22)25-6)9(3)11(14(20)23-4)15(21)24-5/h8-12,18H,7H2,1-6H3,(H,17,19)",UUQJYCLLOPYGJU-UHFFFAOYSA-N
Day,10696,-0.8412405998944483,-3.700499945211945,0.8560115177526264,0.5387742138106446,0.811136591868653,-0.2781504630471128,Dictyota,0.9999892744677861,1.0725532213964919e-5,0.9999999384831213,0.027493599371831743,depletolite,-1,Cytochalasin D,2,Methyl esters,0.96,CHEMONTID:0003416,6,CHEMONTID:0001238,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093;CHEMONTID:0001238;CHEMONTID:0003416,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Carboxylic acid esters,Methyl esters,NA,NA,C16H19N2O2,Low probability,16,19,2,2,0,0,-0.5625,76.33125,2,"InChI=1S/C30H37NO6/c1-17-10-9-13-22-26(33)19(3)18(2)25-23(16-21-11-7-6-8-12-21)31-28(35)30(22,25)24(37-20(4)32)14-15-29(5,36)27(17)34/h6-9,11-15,17-18,22-26,33,36H,3,10,16H2,1-2,4-5H3,(H,31,35)/b13-9+,15-14+/t17-,18+,22-,23-,24+,25-,26+,29+,30+/m0/s1",uncharacterized,"InChI=1S/C16H19N2O2/c1-16(2,3)18(20)15(13-7-5-4-6-8-13)14-9-11-17(19)12-10-14/h4-12,15H,1-3H3",GIJVDTCIXGNNIX-UHFFFAOYSA-N
Day,10719,-1.1978244116739405,-3.2908896190519568,-0.5674377617856027,-0.2925154269110748,-0.10221844305893371,-0.43862647574885094,Dictyota,0.9999858287955492,1.4171204450728381e-5,0.9999999384831213,0.027493599371831743,depletolite,-1,Alcohols and polyols,N/A,Alcohols and polyols,0.98,CHEMONTID:0000129,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0000129,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,C15H29NO8,Low probability,15,29,1,8,0,0,-0.666666666666667,79.30000000000001,3,N/A,uncharacterized,"InChI=1S/C15H29NO8/c1-3-5-9(18)8(16-11(19)4-2)7-23-15-14(22)13(21)12(20)10(6-17)24-15/h8-10,12-15,17-18,20-22H,3-7H2,1-2H3,(H,16,19)",FHXNJPUMTPPACZ-UHFFFAOYSA-N
