org_activity,group,Organism,activity,DayNight,network,net_act,x_val,T0,TF,difference
CCA / labile,CCA_Day,CCA,labile,Day,92564,-161886,5500517897.784561,4089046064.186698,2173044193.6312766,-1916001870.5554214
CCA / labile,CCA_Night,CCA,labile,Night,132899,-154791,4642387971.248727,3898992818.0643206,2945959454.489082,-953033363.5752387
Dictyota / labile,Dictyota_Day,Dictyota,labile,Day,243760,-299417,8638140322.080633,8591431877.978342,6593722838.6233635,-1997709039.3549786
Dictyota / labile,Dictyota_Night,Dictyota,labile,Night,136407,-470374,5455075288.133583,5294349359.976573,3568420064.0934258,-1725929295.8831472
Pocillopora verrucosa / labile,Pocillopora verrucosa_Day,Pocillopora verrucosa,labile,Day,249860,-452779,18056086118.39186,17809806872.767036,10084831022.1082,-7724975850.658836
Pocillopora verrucosa / labile,Pocillopora verrucosa_Night,Pocillopora verrucosa,labile,Night,314631,-690201,33271397710.097908,32838693681.89395,16304287707.260332,-16534405974.63362
Porites lobata / labile,Porites lobata_Day,Porites lobata,labile,Day,119951,-164959,3351765825.622315,3319085571.3240886,1705184755.7210135,-1613900815.603075
Porites lobata / labile,Porites lobata_Night,Porites lobata,labile,Night,142404,-202976,3871301607.9379334,3852228097.8520327,1794000265.2905502,-2058227832.5614824
Turf / labile,Turf_Day,Turf,labile,Day,148718,-97496,8673293624.80176,7715515054.605921,5508849970.466449,-2206665084.139472
Turf / labile,Turf_Night,Turf,labile,Night,125842,-163240,5558472202.338228,5302395602.325481,4014006266.055655,-1288389336.2698264
