netEcoNet,Superclass,Class,Subclass,net_act
Lipids and lipid-like molecules_393,Lipids and lipid-like molecules,NA,NA,393
Alkaloids and derivatives;Amaryllidaceae alkaloids;Galanthamine-type amaryllidaceae alkaloids_4466,Alkaloids and derivatives,Amaryllidaceae alkaloids,Galanthamine-type amaryllidaceae alkaloids,4466
Lipids and lipid-like molecules;Fatty Acyls_324,Lipids and lipid-like molecules,Fatty Acyls,NA,324
Organic acids and derivatives_27,Organic acids and derivatives,NA,NA,27
Lipids and lipid-like molecules;Glycerophospholipids;Glycerophosphoethanolamines_343,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,343
Lipids and lipid-like molecules;Glycerophospholipids;Glycerophosphocholines_2796,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,2796
Lipids and lipid-like molecules;Fatty Acyls;Fatty acid esters_2562,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,2562
Lipids and lipid-like molecules;Fatty Acyls;Fatty amides_2263,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,2263
Organic acids and derivatives;Carboxylic acids and derivatives;Tricarboxylic acids and derivatives_3765,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,3765
"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues_4997",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4997
Lipids and lipid-like molecules_550,Lipids and lipid-like molecules,NA,NA,550
Lipids and lipid-like molecules_363,Lipids and lipid-like molecules,NA,NA,363
Benzenoids;Benzene and substituted derivatives;Phenylpropanes_3032,Benzenoids,Benzene and substituted derivatives,Phenylpropanes,3032
Organoheterocyclic compounds;Lactones;Gamma butyrolactones_-2267,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,-2267
Organoheterocyclic compounds;Azoles;Tetrazoles_164,Organoheterocyclic compounds,Azoles,Tetrazoles,164
Organic acids and derivatives_155,Organic acids and derivatives,NA,NA,155
Lipids and lipid-like molecules_659,Lipids and lipid-like molecules,NA,NA,659
Benzenoids_2261,Benzenoids,NA,NA,2261
Lipids and lipid-like molecules_3930,Lipids and lipid-like molecules,NA,NA,3930
Lipids and lipid-like molecules;Fatty Acyls;Fatty acid esters_1583,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,1583
"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues_918",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",918
"Lipids and lipid-like molecules;Steroids and steroid derivatives;Bile acids, alcohols and derivatives_513",Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",513
Lipids and lipid-like molecules_1026,Lipids and lipid-like molecules,NA,NA,1026
Organic nitrogen compounds_1758,Organic nitrogen compounds,NA,NA,1758
Lipids and lipid-like molecules_269,Lipids and lipid-like molecules,NA,NA,269
