feature_number,Organism,combined_ID,binary_ID,SmilesLibrary_,SmilesAnalog_,network,ZodiacMF,ZodiacScore,C,H,N,O,P,S,NOSC,dG,Intersection
1001,Dictyota,"2S-Amino-4E-pentadecene-1,3R-diol",2,NA,CCCCCCCCCCC=CC(C(CO)N)O,193,C18H35NO2,1,18,35,1,2,0,0,-1.5555555555555554,104.63333333333333,NA
1001,Porites lobata,"2S-Amino-4E-pentadecene-1,3R-diol",2,NA,CCCCCCCCCCC=CC(C(CO)N)O,193,C18H35NO2,1,18,35,1,2,0,0,-1.5555555555555554,104.63333333333333,NA
1001,Pocillopora verrucosa,"2S-Amino-4E-pentadecene-1,3R-diol",2,NA,CCCCCCCCCCC=CC(C(CO)N)O,193,C18H35NO2,1,18,35,1,2,0,0,-1.5555555555555554,104.63333333333333,NA
1118,Porites lobata,O-Arachidonoylglycidol,2,NA,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC1CO1,343,C25H44NO7P,1,25,44,1,7,1,0,-1.2800000000000002,96.78,coral
1118,Pocillopora verrucosa,O-Arachidonoylglycidol,2,NA,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC1CO1,343,C25H44NO7P,1,25,44,1,7,1,0,-1.2800000000000002,96.78,coral
1395,Dictyota,pGlu-Glu-Pro-amide,2,NA,C1CC(N(C1)C(=O)C(CCC(=O)O)NC(=O)C2CCC(=O)N2)C(=O)N,980,C25H48N2O4,1,25,48,2,4,0,0,-1.3600000000000003,99.06,NA
1395,Porites lobata,pGlu-Glu-Pro-amide,2,NA,C1CC(N(C1)C(=O)C(CCC(=O)O)NC(=O)C2CCC(=O)N2)C(=O)N,980,C25H48N2O4,1,25,48,2,4,0,0,-1.3600000000000003,99.06,NA
1395,Pocillopora verrucosa,pGlu-Glu-Pro-amide,2,NA,C1CC(N(C1)C(=O)C(CCC(=O)O)NC(=O)C2CCC(=O)N2)C(=O)N,980,C25H48N2O4,1,25,48,2,4,0,0,-1.3600000000000003,99.06,NA
1681,Pocillopora verrucosa,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,NA,NA,87,C24H41NO13,1,24,41,1,13,0,0,-0.5,74.55,Poc
1949,Pocillopora verrucosa,Eicosapentaenoic acid ethyl ester,2,NA,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OCC,343,C25H42NO7P,1,25,42,1,7,1,0,-1.2000000000000002,94.5,Poc
2086,Porites lobata,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,NA,NA,87,C21H31N21O,1,21,31,21,1,0,0,1.619047619047619,14.157142857142851,coral
2086,Pocillopora verrucosa,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,NA,NA,87,C21H31N21O,1,21,31,21,1,0,0,1.619047619047619,14.157142857142851,coral
2191,Pocillopora verrucosa,Trichothecine,2,NA,CC=CC(=O)OC1CC2C3(C1(C4(CC(=O)C(=CC4O2)C)C)C)CO3,550,C9H19N5O3P,0.998598599,9,19,5,3,1,0,-0.33333333333333304,69.79999999999998,Poc
2371,Pocillopora verrucosa,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,NA,NA,87,C21H37NO11,1,21,37,1,11,0,0,-0.5714285714285712,76.58571428571427,Poc
2372,Pocillopora verrucosa,Creatinol,2,NA,CN(CCO)C(=N)N,155,C11H21N3O,1,11,21,3,1,0,0,-0.9090909090909092,86.2090909090909,Poc
2378,Pocillopora verrucosa,Creatinol,2,NA,CN(CCO)C(=N)N,155,C11H21N3O,1,11,21,3,1,0,0,-0.9090909090909092,86.2090909090909,Poc
2405,Dictyota,"1(6H)-Pyridazinebutanoic acid, 6-imino-3-(4-methoxyphenyl)-",2,NA,COC1=CC=C(C=C1)C2=NN(C(=N)C=C2)CCCC(=O)O,550,C7H16N2P2,1,7,16,2,0,2,0,-2.8571428571428568,141.7285714285714,Dictyota
2445,Pocillopora verrucosa,ALBIZZIINE,2,NA,N/A,2261,C12H15NO3,1,12,15,1,3,0,0,-0.5,74.55,Poc
2485,Turf,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Piperidinones,3,NA,NA,1583,C18H33NO4,1,18,33,1,4,0,0,-1.2222222222222223,95.13333333333333,Turf
2496,Turf,1-Methyl-L-histidine,2,NA,CN1C=C(N=C1)CC(C(=O)[O-])[NH3+],918,C16H29N2O6,1,16,29,2,6,0,0,-0.6875,79.89375,Turf
2517,Turf,1-Methyl-L-histidine,2,NA,CN1C=C(N=C1)CC(C(=O)[O-])[NH3+],918,C19H29N3O3,0.996796797,19,29,3,3,0,0,-0.7368421052631575,81.29999999999998,Turf
2522,Dictyota,(3-hydroxyheptadecenoyl)lysine,2,NA,NA,980,C24H46N2O4,1,24,46,2,4,0,0,-1.333333333333333,98.29999999999998,NA
2522,Porites lobata,(3-hydroxyheptadecenoyl)lysine,2,NA,NA,980,C24H46N2O4,1,24,46,2,4,0,0,-1.333333333333333,98.29999999999998,NA
2522,Pocillopora verrucosa,(3-hydroxyheptadecenoyl)lysine,2,NA,NA,980,C24H46N2O4,1,24,46,2,4,0,0,-1.333333333333333,98.29999999999998,NA
2529,Porites lobata,no matches;no matches;no matches;no matches,3,NA,NA,-1,C8H33N17O6,1,8,33,17,6,0,0,3.75,-46.575,coral
2529,Pocillopora verrucosa,no matches;no matches;no matches;no matches,3,NA,NA,-1,C8H33N17O6,1,8,33,17,6,0,0,3.75,-46.575,coral
2575,Pocillopora verrucosa,Met Tyr Leu,2,NA,N/A,550,C21H34O11,0.674774775,21,34,0,11,0,0,-0.5714285714285712,76.58571428571427,Poc
2643,Turf,Spectral Match to Oleoyl L-carnitine from NIST14,2,NA,N/A,1730,C18H40N6O8,0.909409409,18,40,6,8,0,0,-0.33333333333333304,69.79999999999998,Turf
2658,Porites lobata,Octanoylcarnitine,2,NA,CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,21,C16H31NO4,1,16,31,1,4,0,0,-1.25,95.925,coral
2658,Pocillopora verrucosa,Octanoylcarnitine,2,NA,CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,21,C16H31NO4,1,16,31,1,4,0,0,-1.25,95.925,coral
2734,Pocillopora verrucosa,Decanoyl-L-carnitine,1,CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,N/A,21,C17H33NO4,1,17,33,1,4,0,0,-1.2941176470588234,97.18235294117646,Poc
2942,Porites lobata,no matches;no matches;no matches;no matches,3,NA,NA,-1,C20H39NO5,1,20,39,1,5,0,0,-1.2999999999999998,97.35,coral
2942,Pocillopora verrucosa,no matches;no matches;no matches;no matches,3,NA,NA,-1,C20H39NO5,1,20,39,1,5,0,0,-1.2999999999999998,97.35,coral
2978,Porites lobata,Adipoyl-L-carnitine,2,NA,C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCCC(=O)O,-1,C20H39NO5,1,20,39,1,5,0,0,-1.2999999999999998,97.35,coral
2978,Pocillopora verrucosa,Adipoyl-L-carnitine,2,NA,C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCCC(=O)O,-1,C20H39NO5,1,20,39,1,5,0,0,-1.2999999999999998,97.35,coral
2997,Pocillopora verrucosa,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,NA,NA,550,C19H28N6O9,0.929129129,19,28,6,9,0,0,0.42105263157894735,48.3,Poc
3032,Dictyota,Palmitoyl 3-carbacyclic phosphatidic acid,2,NA,CCCCCCCCCCCCCCCC(=O)OCC1CCP(=O)(O1)O,17,C22H35NO5,1,22,35,1,5,0,0,-1,88.8,NA
3032,Porites lobata,Palmitoyl 3-carbacyclic phosphatidic acid,2,NA,CCCCCCCCCCCCCCCC(=O)OCC1CCP(=O)(O1)O,17,C22H35NO5,1,22,35,1,5,0,0,-1,88.8,NA
3078,Porites lobata,Oleoyl-L-carnitine,2,NA,CCCCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,21,C19H37NO5,1,19,37,1,5,0,0,-1.2631578947368425,96.30000000000001,coral
3078,Pocillopora verrucosa,Oleoyl-L-carnitine,2,NA,CCCCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,21,C19H37NO5,1,19,37,1,5,0,0,-1.2631578947368425,96.30000000000001,coral
3080,Pocillopora verrucosa,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,NA,NA,87,C17H40N2O11P,0.99019019,17,40,2,11,1,0,-1,88.8,Poc
3119,Turf,Cytidine 5'-diphosphocholine,2,NA,[H+].C[N+](C)(C)CCOP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O,1907,C11HNO10P4,0.993693694,NA,NA,NA,NA,NA,NA,NA,NA,Turf
3185,Pocillopora verrucosa,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,NA,NA,87,C22H30N4O7,1,22,30,4,7,0,0,-0.18181818181818166,65.48181818181817,Poc
3206,Pocillopora verrucosa,L-Carvone,2,NA,CC1=CCC(CC1=O)C(=C)C,-1,C11H17O6,0.638738739,11,17,0,6,0,0,-0.45454545454545414,73.25454545454544,Poc
3214,Turf,Morantel,2,NA,CC1=C(SC=C1)C=CC2=NCCCN2C,490,C9H31N10P2,1,9,31,10,0,2,0,-1.2222222222222223,95.13333333333333,Turf
3236,CCA,2-Despiperidyl-2-(5-carboxypentylamine)repaglinide,1,CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2NCCCCC(=O)O)C(=O)O,CC1=CC=C(C=C1)NC(C)(C)C(=O)O,-1,C16H23NO2,1,16,23,1,2,0,0,-1,88.8,NA
3236,Turf,2-Despiperidyl-2-(5-carboxypentylamine)repaglinide,1,CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2NCCCCC(=O)O)C(=O)O,CC1=CC=C(C=C1)NC(C)(C)C(=O)O,-1,C16H23NO2,1,16,23,1,2,0,0,-1,88.8,NA
3273,Dictyota,Undecanedioic acid,2,NA,C(CCCCC(=O)O)CCCCC(=O)O,4779,C14H23NO4,1,14,23,1,4,0,0,-0.8571428571428568,84.72857142857141,Dictyota
3279,CCA,Misoprostol,2,NA,CCCCC(C)(CC=CC1C(CC(=O)C1CCCCCCC(=O)OC)O)O,167,C18H28O4,1,18,28,0,4,0,0,-1.1111111111111107,91.96666666666665,NA
3279,Porites lobata,Misoprostol,2,NA,CCCCC(C)(CC=CC1C(CC(=O)C1CCCCCCC(=O)OC)O)O,167,C18H28O4,1,18,28,0,4,0,0,-1.1111111111111107,91.96666666666665,NA
3279,Pocillopora verrucosa,Misoprostol,2,NA,CCCCC(C)(CC=CC1C(CC(=O)C1CCCCCCC(=O)OC)O)O,167,C18H28O4,1,18,28,0,4,0,0,-1.1111111111111107,91.96666666666665,NA
3373,Porites lobata,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,NA,NA,87,C29H49NO15,1,29,49,1,15,0,0,-0.5517241379310347,76.02413793103449,coral
3373,Pocillopora verrucosa,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,NA,NA,87,C29H49NO15,1,29,49,1,15,0,0,-0.5517241379310347,76.02413793103449,coral
3374,Porites lobata,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,NA,NA,87,C22H39NO11,1,22,39,1,11,0,0,-0.6363636363636367,78.43636363636364,coral
3374,Pocillopora verrucosa,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,NA,NA,87,C22H39NO11,1,22,39,1,11,0,0,-0.6363636363636367,78.43636363636364,coral
3408,Dictyota,pGlu-Glu-Pro-amide,2,NA,C1CC(N(C1)C(=O)C(CCC(=O)O)NC(=O)C2CCC(=O)N2)C(=O)N,980,C26H50N2O4,1,26,50,2,4,0,0,-1.384615384615385,99.76153846153846,NA
3408,Porites lobata,pGlu-Glu-Pro-amide,2,NA,C1CC(N(C1)C(=O)C(CCC(=O)O)NC(=O)C2CCC(=O)N2)C(=O)N,980,C26H50N2O4,1,26,50,2,4,0,0,-1.384615384615385,99.76153846153846,NA
3408,Pocillopora verrucosa,pGlu-Glu-Pro-amide,2,NA,C1CC(N(C1)C(=O)C(CCC(=O)O)NC(=O)C2CCC(=O)N2)C(=O)N,980,C26H50N2O4,1,26,50,2,4,0,0,-1.384615384615385,99.76153846153846,NA
3419,Dictyota,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Diterpenoids,3,NA,NA,1095,C15H28N2O4,1,15,28,2,4,0,0,-0.9333333333333336,86.9,Dictyota
3435,Porites lobata,Organic compounds;Benzenoids;Phenol ethers;nan,3,NA,NA,2393,C18H33NO5,1,18,33,1,5,0,0,-1.1111111111111107,91.96666666666665,NA
3435,Pocillopora verrucosa,Organic compounds;Benzenoids;Phenol ethers;nan,3,NA,NA,2393,C18H33NO5,1,18,33,1,5,0,0,-1.1111111111111107,91.96666666666665,NA
3435,Turf,Organic compounds;Benzenoids;Phenol ethers;nan,3,NA,NA,2393,C18H33NO5,1,18,33,1,5,0,0,-1.1111111111111107,91.96666666666665,NA
3479,Turf,Organic compounds;Benzenoids;Benzene and substituted derivatives;Methoxybenzenes,3,NA,NA,1907,C7H3NO13P4,0.967967968,NA,NA,NA,NA,NA,NA,NA,NA,Turf
3487,Porites lobata,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,NA,NA,87,C25H43NO13,1,25,43,1,13,0,0,-0.5599999999999996,76.25999999999999,coral
3487,Pocillopora verrucosa,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,NA,NA,87,C25H43NO13,1,25,43,1,13,0,0,-0.5599999999999996,76.25999999999999,coral
3493,Dictyota,His-Ala-Lys,2,NA,N/A,490,C15H25N2P,1,15,25,2,0,1,0,-1.5999999999999996,105.89999999999998,fleshy algae
3493,Turf,His-Ala-Lys,2,NA,N/A,490,C15H25N2P,1,15,25,2,0,1,0,-1.5999999999999996,105.89999999999998,fleshy algae
3527,Porites lobata,Tyramine,2,NA,C1=CC(=CC=C1CCN)O,2261,C12H15NO4,1,12,15,1,4,0,0,-0.33333333333333304,69.79999999999998,NA
3527,Turf,Tyramine,2,NA,C1=CC(=CC=C1CCN)O,2261,C12H15NO4,1,12,15,1,4,0,0,-0.33333333333333304,69.79999999999998,NA
3584,Porites lobata,"Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,NA,NA,80,C20H37NO9,1,20,37,1,9,0,0,-0.7999999999999998,83.1,coral
3584,Pocillopora verrucosa,"Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,NA,NA,80,C20H37NO9,1,20,37,1,9,0,0,-0.7999999999999998,83.1,coral
3610,Pocillopora verrucosa,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,NA,NA,550,C29H46O15,0.861361361,29,46,0,15,0,0,-0.5517241379310347,76.02413793103449,Poc
3635,Porites lobata,Acetyl-DL-carnitine,2,NA,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,1306,C6H27N10P2,1,6,27,10,0,2,0,-1.166666666666667,93.55000000000001,coral
3635,Pocillopora verrucosa,Acetyl-DL-carnitine,2,NA,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,1306,C6H27N10P2,1,6,27,10,0,2,0,-1.166666666666667,93.55000000000001,coral
3639,Pocillopora verrucosa,Lupinine,2,NA,C1CCN2CCCC(C2C1)CO,155,C12H25N3O2,1,12,25,3,2,0,0,-1,88.8,Poc
3716,Dictyota,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Diterpenoids,3,NA,NA,1095,C14H26N2O4,1,14,26,2,4,0,0,-0.8571428571428568,84.72857142857141,NA
3716,Pocillopora verrucosa,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Diterpenoids,3,NA,NA,1095,C14H26N2O4,1,14,26,2,4,0,0,-0.8571428571428568,84.72857142857141,NA
3751,Pocillopora verrucosa,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,NA,NA,87,C23H55N3O6P4,0.9998999,NA,NA,NA,NA,NA,NA,NA,NA,Poc
3780,Dictyota,trans-Traumatic acid,2,NA,C(CCCCC(=O)O)CCCC=CC(=O)O,-1,C14H25NO4,1,14,25,1,4,0,0,-1,88.8,Dictyota
3836,Turf,Organic compounds;Organoheterocyclic compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,3,NA,NA,918,C21H25N3O4P4,0.997397397,NA,NA,NA,NA,NA,NA,NA,NA,Turf
3860,Porites lobata,L-Arachidonoylcarnitine,2,NA,N/A,21,C21H39NO5,1,21,39,1,5,0,0,-1.2380952380952381,95.58571428571429,coral
3860,Pocillopora verrucosa,L-Arachidonoylcarnitine,2,NA,N/A,21,C21H39NO5,1,21,39,1,5,0,0,-1.2380952380952381,95.58571428571429,coral
3900,Dictyota,"N-(1,1-Dimethyl-2-hydroxyethyl)-3-amino-2-hydroxypropanesulfonic acid",2,NA,CC(C)(CO)NCC(CS(=O)(=O)O)O,17,C22H35NO6,1,22,35,1,6,0,0,-0.9090909090909092,86.2090909090909,Dictyota
3903,Turf,"2,5-Cyclohexadiene-1,4-dione, 3-hydroxy-2-[(1R,6R)-3-methyl-6-(1-methylethenyl)-2-cyclohexen-1-yl]-5-pentyl-",1,CCCCCC1=CC(=O)C(=C(C1=O)O)C2C=C(CCC2C(=C)C)C,CSC1=CC(=C(C=C1)O)C(=O)O,1827,C13H25N7OP,1,13,25,7,1,1,0,-0.5384615384615383,75.64615384615384,Turf
3962,Porites lobata,Aconitic acid,2,NA,N/A,-1,C18H30O7,1,18,30,0,7,0,0,-0.8888888888888893,85.63333333333334,coral
3962,Pocillopora verrucosa,Aconitic acid,2,NA,N/A,-1,C18H30O7,1,18,30,0,7,0,0,-0.8888888888888893,85.63333333333334,coral
3992,Dictyota,2-Propylbenzimidazole,2,NA,CCCC1=NC2=CC=CC=C2N1,-1,C15H19N,1,15,19,1,0,0,0,-1.0666666666666664,90.69999999999999,NA
3992,Pocillopora verrucosa,2-Propylbenzimidazole,2,NA,CCCC1=NC2=CC=CC=C2N1,-1,C15H19N,1,15,19,1,0,0,0,-1.0666666666666664,90.69999999999999,NA
3992,Turf,2-Propylbenzimidazole,2,NA,CCCC1=NC2=CC=CC=C2N1,-1,C15H19N,1,15,19,1,0,0,0,-1.0666666666666664,90.69999999999999,NA
4007,Porites lobata,2-Hexyl-4-pentynoic acid,2,NA,CCCCCCC(CC#C)C(=O)O,1306,C19H35NO5,1,19,35,1,5,0,0,-1.1578947368421053,93.3,coral
4007,Pocillopora verrucosa,2-Hexyl-4-pentynoic acid,2,NA,CCCCCCC(CC#C)C(=O)O,1306,C19H35NO5,1,19,35,1,5,0,0,-1.1578947368421053,93.3,coral
4128,Dictyota,Isovaleryl-L-carnitine,2,NA,CC(C)CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,21,C13H25NO4,1,13,25,1,4,0,0,-1.0769230769230766,90.99230769230769,Dictyota
4136,Porites lobata,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,3,NA,NA,21,C20H39NO5,1,20,39,1,5,0,0,-1.2999999999999998,97.35,coral
4136,Pocillopora verrucosa,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,3,NA,NA,21,C20H39NO5,1,20,39,1,5,0,0,-1.2999999999999998,97.35,coral
4168,Pocillopora verrucosa,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,3,NA,NA,87,C25H53N7O2P4,1,NA,NA,NA,NA,NA,NA,NA,NA,Poc
4205,Pocillopora verrucosa,Oleoyl-L-carnitine,2,NA,CCCCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,21,C21H41NO5,1,21,41,1,5,0,0,-1.333333333333333,98.29999999999998,Poc
4277,Dictyota,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,3,NA,NA,21,C11H21NO4,1,11,21,1,4,0,0,-0.9090909090909092,86.2090909090909,NA
4277,Porites lobata,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,3,NA,NA,21,C11H21NO4,1,11,21,1,4,0,0,-0.9090909090909092,86.2090909090909,NA
