feature_number,Organism,network,activity,xic,log10,ra,asin,log2_change,net_act,combined_ID,binary_ID,ZodiacMF,ZodiacScore,C,H,N,O,P,S,NOSC,dG
10003,Pocillopora verrucosa,324,accumolite,1033165.8930146536,5.971685039923964,2.456570453753814e-5,2.4565704541053495e-5,2.0163967922855743,324,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,C20H37NO9,1,20,37,1,9,0,0,-0.7999999999999998,83.1
10003,Turf,324,accumolite,649831.5170000037,5.808638558297673,4.2501724923113296e-5,4.250172493603834e-5,1.7948285798808226,324,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,C20H37NO9,1,20,37,1,9,0,0,-0.7999999999999998,83.1
1001,Dictyota,193,depletolite,2191419.0485312855,6.338560001152304,6.136180685998183e-5,6.136180689861667e-5,-6.6,193,"2S-Amino-4E-pentadecene-1,3R-diol",2,C18H35NO2,1,18,35,1,2,0,0,-1.5555555555555554,104.63333333333333
1001,Pocillopora verrucosa,193,depletolite,1900755.5518749505,6.2776687126473245,4.607101301431383e-5,4.6071013030633836e-5,-6.6,193,"2S-Amino-4E-pentadecene-1,3R-diol",2,C18H35NO2,1,18,35,1,2,0,0,-1.5555555555555554,104.63333333333333
1001,Porites lobata,193,depletolite,1627592.5219999417,6.200807861252143,1.3322887792284216e-4,1.3322887843724581e-4,-2.3197324083318125,193,"2S-Amino-4E-pentadecene-1,3R-diol",2,C18H35NO2,1,18,35,1,2,0,0,-1.5555555555555554,104.63333333333333
10019,Dictyota,882,recalcitrant,52156273.66203128,4.009168277607797,0.001675897756064351,0.0016759008940683663,-4.530378459098033,882,"Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,C24H32NO4P,0.994894895,24,32,1,4,1,0,-1.083333333333333,91.17499999999998
10036,CCA,61,recalcitrant,1194248.4089218883,3.1890624244218198,8.992996392638181e-5,8.992996441124813e-5,-2.9639764045591446,61,"(2S,3S,4S,5R,6R)-6-[[(3S,6aR,6bS,8aR,14bR)-9-hydroxy-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-5-[4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,4-dihydroxyoxane-2-carboxylic acid",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10036,Porites lobata,61,recalcitrant,14586382.807140622,7.147307941318877,0.0011328066092767199,0.0011328068725042076,-4.4945803573580205,61,"(2S,3S,4S,5R,6R)-6-[[(3S,6aR,6bS,8aR,14bR)-9-hydroxy-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-5-[4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,4-dihydroxyoxane-2-carboxylic acid",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10062,CCA,65,recalcitrant,26700340.924867187,7.1350584671166715,0.0020960241918136766,0.0020960285545667937,-4.064447576427418,65,.alpha.-L-Asp-L-Lys,1,C16H19N2,1,16,19,2,0,0,0,-0.8125,83.45625
10062,Pocillopora verrucosa,65,recalcitrant,37223592.31012502,6.994586804663973,9.539061085214679e-4,9.539066597081112e-4,-2.8206059952035374,65,.alpha.-L-Asp-L-Lys,1,C16H19N2,1,16,19,2,0,0,0,-0.8125,83.45625
10067,Dictyota,-1,recalcitrant,5738015.173093785,6.747991228796369,1.580751315168502e-4,1.580751321912421e-4,0.892395252707948,-10067,Idebenone,2,C16H37NO6P,0.897197197,16,37,1,6,1,0,-1.6875,108.39375
10081,CCA,945,recalcitrant,43596866.08209174,7.311031803444137,0.005152145512165148,0.00515222687163159,-4.4560149712074235,945,Docosahexaenoic acid methyl ester,2,C20H32O3,1,20,32,0,3,0,0,-1.2999999999999998,97.35
10107,CCA,4021,depletolite,1905834.6293789018,6.0185660234451035,2.232191750652144e-4,2.2321918137381544e-4,-4.249378607560202,4021,Organic compounds;Phenylpropanoids and polyketides;Macrolides and analogues;nan,3,C22H35N5O7,0.761961962,22,35,5,7,0,0,-0.2727272727272725,68.07272727272726
10107,Pocillopora verrucosa,4021,depletolite,4233190.486976513,6.620835372756869,1.0395420014109466e-4,1.0395420035445772e-4,-5.691834672367316,4021,Organic compounds;Phenylpropanoids and polyketides;Macrolides and analogues;nan,3,C22H35N5O7,0.761961962,22,35,5,7,0,0,-0.2727272727272725,68.07272727272726
10107,Porites lobata,4021,depletolite,3362241.182249991,6.5252160081358355,2.712271704685822e-4,2.7122717413801843e-4,-5.248786406613839,4021,Organic compounds;Phenylpropanoids and polyketides;Macrolides and analogues;nan,3,C22H35N5O7,0.761961962,22,35,5,7,0,0,-0.2727272727272725,68.07272727272726
10107,Turf,4021,depletolite,1682594.0576249873,3.263504737757214,1.2023151630939043e-4,1.20231517468071e-4,-5.387717380139259,4021,Organic compounds;Phenylpropanoids and polyketides;Macrolides and analogues;nan,3,C22H35N5O7,0.761961962,22,35,5,7,0,0,-0.2727272727272725,68.07272727272726
10109,CCA,1245,recalcitrant,117444.8178339843,5.043832136847471,1.061965734277515e-5,1.0619657342982348e-5,-1.0998147695987686,1245,Hexaethylene glycol,2,C17H37NO11,0.881081081,17,37,1,11,0,0,-0.7058823529411766,80.41764705882353
10109,Dictyota,1245,recalcitrant,904555.3162500005,3.128732683065875,2.2268507712432955e-5,2.2268507719794722e-5,-3.501084746375784,1245,Hexaethylene glycol,2,C17H37NO11,0.881081081,17,37,1,11,0,0,-0.7058823529411766,80.41764705882353
10121,Dictyota,-1,recalcitrant,88456078.9709999,7.663887078041855,0.002793545577189249,0.00279355776087901,-1.2566784841794656,-10121,Prostaglandin G2,1,C22H30O6,1,22,30,0,6,0,0,-0.8181818181818183,83.61818181818182
10146,Pocillopora verrucosa,61,recalcitrant,18394159.340892635,7.173117187494566,4.62106462705885e-4,4.6210649820424077e-4,-1.1263889376389238,61,"3-[21-benzyl-3,24-bis(butan-2-yl)-6-(2-carboxyethyl)-7,10,28-trimethyl-2,5,8,11,14,20,23,26,29,32-decaoxo-9,30-bis(propan-2-yl)-25-oxa-1,4,7,10,13,19,22,28,31-nonaazatricyclo[31.4.0.0�?,�?]heptatriacontan-27-yl]propanoic acid",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10146,Porites lobata,61,recalcitrant,8194656.080562448,6.767675600350512,6.064804825891527e-4,6.064805655198072e-4,-0.7492338711560446,61,"3-[21-benzyl-3,24-bis(butan-2-yl)-6-(2-carboxyethyl)-7,10,28-trimethyl-2,5,8,11,14,20,23,26,29,32-decaoxo-9,30-bis(propan-2-yl)-25-oxa-1,4,7,10,13,19,22,28,31-nonaazatricyclo[31.4.0.0�?,�?]heptatriacontan-27-yl]propanoic acid",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10155,Pocillopora verrucosa,17,depletolite,4360595.289390541,6.63951649957847,1.0620319838698072e-4,1.0620319858926935e-4,-6.6,17,N-Oleoyltaurine,1,C23H35NO4,1,23,35,1,4,0,0,-1.0434782608695654,90.0391304347826
10165,CCA,-1,recalcitrant,23323793.00482226,6.886109137530161,0.0017860628149865697,0.001786066132425655,-3.157187434789731,-10165,Spectral Match to .alpha.-L-Asp-L-Phe from NIST14,1,C13H16N2O5,1,13,16,2,5,0,0,0,60.3
10165,Dictyota,-1,recalcitrant,16528306.382525392,6.9115466871302615,5.230017825781282e-4,5.230018641849942e-4,-3.291284081085073,-10165,Spectral Match to .alpha.-L-Asp-L-Phe from NIST14,1,C13H16N2O5,1,13,16,2,5,0,0,0,60.3
10165,Pocillopora verrucosa,-1,recalcitrant,33238323.896374993,7.520587963421637,8.120927665510467e-4,8.120928599203456e-4,-5.20274531058748,-10165,Spectral Match to .alpha.-L-Asp-L-Phe from NIST14,1,C13H16N2O5,1,13,16,2,5,0,0,0,60.3
10165,Turf,-1,recalcitrant,17514037.83692774,6.903932450748886,0.0012411553389937967,0.0012411564403612863,-3.2478078579814156,-10165,Spectral Match to .alpha.-L-Asp-L-Phe from NIST14,1,C13H16N2O5,1,13,16,2,5,0,0,0,60.3
10167,Dictyota,505,recalcitrant,2380326.115218758,6.373142880438323,6.867206449854267e-5,6.867206456300373e-5,1.33491617025995,505,Organic compounds;Organoheterocyclic compounds;Benzene and substituted derivatives;nan,3,C14H12N7O,1,14,12,7,1,0,0,0.7857142857142856,37.90714285714286
10174,Dictyota,437,recalcitrant,1344833.8364765607,6.128200453919655,3.792538155249831e-5,3.7925381561794015e-5,-0.5833841925295662,437,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,C22H37N2O7,0.9,22,37,2,7,0,0,-0.7727272727272725,82.32272727272726
10205,Pocillopora verrucosa,155,depletolite,54666211.258312516,7.708232855037549,0.0013565540606044364,0.0013565546796714884,-9.515381826734092,155,Creatinol,2,C11H21N3O2,1,11,21,3,2,0,0,-0.7272727272727275,81.02727272727273
10209,Dictyota,437,recalcitrant,1233320.8000937407,6.083517590207447,3.413869439629008e-5,3.413869440297898e-5,-0.18284137844305284,437,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3,C22H39N5O7,0.998598599,22,39,5,7,0,0,-0.45454545454545414,73.25454545454544
