Order,Family,Genus,OTU_id,DayNight,Organism,Organism:DayNight,Day_CCA,Day_Dictyota,Day_Pocillopora verrucosa,Day_Porites lobata,Day_Turf,Day_Water control,Night_CCA,Night_Dictyota,Night_Pocillopora verrucosa,Night_Porites lobata,Night_Turf,Night_Water control
Flavobacteriales,Cryomorphaceae,Cryomorphaceae_unclassified,Otu00062,0,0,0,0.00182375,0.0010983333333333333,0.012784333333333333,0.03488225,9.12e-4,0.0215885,0.001382,8.2375e-4,0.004823666666666667,0.00858825,8.5275e-4,0.0086765
Flavobacteriales,Cryomorphaceae,uncultured,Otu00004,0,0,0,0.2373235,0.181922,0.03788233333333334,0.00347075,0.2843825,0.0388235,0.104559,0.0892355,0.009961,0.013117750000000001,0.0612355,0.0541175
Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Otu00013,0,0,0.002268208092485549,0.00600025,0,0.032078333333333334,6.1775e-4,0.001912,0.0029705,0,1.765e-4,0.0020783333333333335,0.00144125,3.53e-4,0
Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Otu00057,0,0,0,0.010647,0.004274333333333333,0.009529333333333334,0,0.003794,0.003559,0,0,0,0,0,0
Flavobacteriales,Flavobacteriaceae,Nonlabens,Otu00016,0.04985207547169811,0.02337702127659574,0.0152803738317757,0.002,0.003098,0.03003933333333333,0.0023825,0.0023235,0.0031175,0.0012355,1.4725e-4,0,2.3525e-4,0,2.95e-5
Flavobacteriales,Flavobacteriaceae,NS4_marine_group,Otu00019,NA,0.04985207547169811,NA,0.00117675,0.002157,9.02e-4,0.00129375,0.002853,0.00208825,0.0056175,0.0104705,0.0026666666666666666,0.00341175,0.00894125,0.0044415
Flavobacteriales,Flavobacteriaceae,NS5_marine_group,Otu00027,0,0,0,0.019706,0.013294333333333333,0.020902,0.00438225,0.018147,0.01105875,0.00723525,0.0060295,0.004784333333333333,0.00820575,0.00461775,0.011176499999999999
Flavobacteriales,Flavobacteriaceae,NS5_marine_group,Otu00029,0,0,0,0.00826475,0.008353,0.020196,6.47e-4,0.0155295,0.00517625,0.00817625,0.00738225,0.004078333333333333,0.0071765,0.00376475,0.0036177500000000003
Flavobacteriales,NS9_marine_group,NS9_marine_group_ge,Otu00024,0,0,0,0.01229425,0.012784333333333333,0.04937266666666666,0.013823499999999999,0.01538225,7.6475e-4,0.007706,0.0061175,0.008117666666666667,0.01341175,0.0025,3.53e-4
Flavobacteriales,NS9_marine_group,NS9_marine_group_ge,Otu00054,0,0,0,0.00694125,0.006392,0.019294,0.0098235,0.00605875,0.00494125,0.0038235,0.0028822500000000003,0.004274333333333333,0.00529425,0.0021762500000000002,0.009823499999999999
