feature_number,Organism,T0,TF,log2_change,network,N,P,C,O,H,NOSC,row m/z,n_presence,nc,oc,hc,log_nc,log_oc,log_hc,logxic,log_snc,log_soc,log_shc,ra,ra_mean
10003,Pocillopora verrucosa,1033165.8930146536,8583130.68721975,2.0163967922855743,324,1,0,20,9,37,-0.7999999999999998,436.2548913869571,1,0.05,0.45,1.85,-1.3010299956639813,-0.3467874862246563,0.26717172840301384,6.014170060761033,4.713140065097051,5.667382574536377,6.281341789164046,NA,2.456570453753814e-5
10003,Turf,649831.5170000037,5395554.967271447,1.7948285798808226,324,1,0,20,9,37,-0.7999999999999998,436.2548913869571,1,0.05,0.45,1.85,-1.3010299956639813,-0.3467874862246563,0.26717172840301384,5.812800770916712,4.511770775252731,5.466013284692056,6.079972499319726,NA,4.2501724923113296e-5
1001,Dictyota,2191419.0485312855,0,-6.6,193,1,0,18,2,35,-1.5555555555555554,298.27390204037323,1,0.05555555555555555,0.1111111111111111,1.9444444444444444,-1.255272505103306,-0.9542425094393249,0.28879553924696955,6.340725432359129,5.085452927255822,5.386482922919804,6.629520971606098,NA,6.136180685998183e-5
1001,Pocillopora verrucosa,1900755.5518749505,0,-6.6,193,1,0,18,2,35,-1.5555555555555554,298.27390204037323,1,0.05555555555555555,0.1111111111111111,1.9444444444444444,-1.255272505103306,-0.9542425094393249,0.28879553924696955,6.278926267681813,5.0236537625785065,5.324683758242488,6.567721806928782,NA,4.607101301431383e-5
1001,Porites lobata,1627592.5219999417,711042.3489140675,-2.3197324083318125,193,1,0,18,2,35,-1.5555555555555554,298.27390204037323,1,0.05555555555555555,0.1111111111111111,1.9444444444444444,-1.255272505103306,-0.9542425094393249,0.28879553924696955,6.2115456858128395,4.956273180709533,5.257303176373514,6.500341225059809,NA,1.3322887792284216e-4
10019,Dictyota,52156273.66203128,2810242.88531248,-4.530378459098033,882,1,1,24,4,32,-1.083333333333333,452.1910753504249,1,0.041666666666666664,0.16666666666666666,1.3333333333333333,-1.3802112417116061,-0.7781512503836436,0.12493873660829993,7.717306555388216,6.33709531367661,6.939155305004572,7.842245291996516,NA,0.001675897756064351
10067,Dictyota,5738015.173093785,30844919.052081056,0.892395252707948,-1,1,1,16,6,37,-1.6875,393.22736456368006,1,0.0625,0.375,2.3125,-1.2041199826559248,-0.42596873227228116,0.3640817414110702,6.758761692320958,5.554641709665033,6.3327929600486765,7.122843433732028,NA,1.580751315168502e-4
10107,CCA,1905834.6293789018,289992.961949221,-4.249378607560202,4021,5,0,22,7,35,-0.2727272727272725,482.2637302876476,1,0.22727272727272727,0.3181818181818182,1.5909090909090908,-0.6434526764861874,-0.4973246408079494,0.2016453635280694,6.280085213897251,5.636632537411064,5.782760573089301,6.48173057742532,NA,2.232191750652144e-4
10107,Pocillopora verrucosa,4233190.486976513,135316.22307812428,-5.691834672367316,4021,5,0,22,7,35,-0.2727272727272725,482.2637302876476,1,0.22727272727272727,0.3181818181818182,1.5909090909090908,-0.6434526764861874,-0.4973246408079494,0.2016453635280694,6.626667811488762,5.983215135002574,6.129343170680812,6.828313175016831,NA,1.0395420014109466e-4
10107,Porites lobata,3362241.182249991,116305.55683007762,-5.248786406613839,4021,5,0,22,7,35,-0.2727272727272725,482.2637302876476,1,0.22727272727272727,0.3181818181818182,1.5909090909090908,-0.6434526764861874,-0.4973246408079494,0.2016453635280694,6.526628863286507,5.88317618680032,6.029304222478558,6.728274226814577,NA,2.712271704685822e-4
10107,Turf,1682594.0576249873,124984.20016406273,-5.387717380139259,4021,5,0,22,7,35,-0.2727272727272725,482.2637302876476,1,0.22727272727272727,0.3181818181818182,1.5909090909090908,-0.6434526764861874,-0.4973246408079494,0.2016453635280694,6.225979350795428,5.58252667430924,5.728654709987478,6.427624714323497,NA,1.2023151630939043e-4
10109,CCA,117444.8178339843,1503929.8839628918,-1.0998147695987686,1245,1,0,17,11,37,-0.7058823529411766,432.24457345371053,1,0.058823529411764705,0.6470588235294118,2.176470588235294,-1.2304489213782739,-0.18905623622004886,0.33775280268872104,5.069833858612501,3.8393849372342275,4.880777622392452,5.407586661301223,NA,1.061965734277515e-5
10109,Dictyota,904555.3162500005,1168309.5378378916,-3.501084746375784,1245,1,0,17,11,37,-0.7058823529411766,432.24457345371053,1,0.058823529411764705,0.6470588235294118,2.176470588235294,-1.2304489213782739,-0.18905623622004886,0.33775280268872104,5.956435130408176,4.725986209029902,5.767378894188127,6.294187933096897,NA,2.2268507712432955e-5
10155,Pocillopora verrucosa,4360595.289390541,0,-6.6,17,1,0,23,4,35,-1.0434782608695654,390.2645050343951,1,0.043478260869565216,0.17391304347826086,1.5217391304347827,-1.3617278360175928,-0.7596678446896306,0.18234020833268277,6.639545781298377,5.277817945280785,5.879877936608747,6.821885989631061,NA,1.0620319838698072e-4
10174,Dictyota,1344833.8364765607,1010668.5841103597,-0.5833841925295662,437,2,0,22,7,37,-0.7727272727272725,442.2653794520916,1,0.09090909090909091,0.3181818181818182,1.6818181818181819,-1.041392685158225,-0.4973246408079494,0.22577904324478879,6.128668627565703,5.087275942407477,5.631343986757753,6.354447670810491,NA,3.792538155249831e-5
10205,Pocillopora verrucosa,54666211.258312516,82970.68399804654,-9.515381826734092,155,3,0,11,2,21,-0.7272727272727275,228.171041803554,1,0.2727272727272727,0.18181818181818182,1.9090909090909092,-0.5642714304385626,-0.7403626894942439,0.2808266095756942,7.7377189753617115,7.173447544923149,6.997356285867467,8.018545584937407,NA,0.0013565540606044364
10209,Dictyota,1233320.8000937407,2266001.9715117216,-0.18284137844305284,437,5,0,22,7,39,-0.45454545454545414,486.290401057106,1,0.22727272727272727,0.3181818181818182,1.7727272727272727,-0.6434526764861874,-0.4973246408079494,0.24864192620429296,6.0910760559869654,5.4476233795007785,5.593751415179017,6.339717982191258,NA,3.413869439629008e-5
10228,Dictyota,3959436.672812574,1365465.8845351485,-1.9988427110873426,72,1,0,22,10,33,-0.45454545454545414,472.2184857654662,1,0.045454545454545456,0.45454545454545453,1.5,-1.3424226808222062,-0.3424226808222062,0.17609125905568124,6.597633401255838,5.255210720433632,6.255210720433632,6.77372466031152,NA,1.0307232999878075e-4
10273,Dictyota,82097690.46813673,15720821.805406244,-2.694744735633767,-1,5,1,5,1,17,-1,217.1064099124395,1,1,0.2,3.4,0,-0.6989700043360187,0.5314789170422551,7.914330939932449,7.914330939932449,7.21536093559643,8.445809856974703,NA,0.002021095913671421
10273,Pocillopora verrucosa,18252871.71950001,39332128.690207034,-0.7890569280742078,-1,5,1,5,1,17,-1,217.1064099124395,1,1,0.2,3.4,0,-0.6989700043360187,0.5314789170422551,7.2613312016044755,7.2613312016044755,6.562361197268457,7.79281011864673,NA,4.524320151332318e-4
10273,Porites lobata,2931724.2093749777,0,-6.6,-1,5,1,5,1,17,-1,217.1064099124395,1,1,0.2,3.4,0,-0.6989700043360187,0.5314789170422551,6.467123113315583,6.467123113315583,5.768153108979564,6.998602030357837,NA,2.595140209511347e-4
10274,Dictyota,10269717.51323041,5452201.910661159,-1.2131727075696956,627,1,1,17,2,33,-1.8235294117647056,353.18794607905954,1,0.058823529411764705,0.11764705882352941,1.9411764705882353,-1.2304489213782739,-0.9294189257142927,0.2880650184996135,7.011558497722641,5.781109576344367,6.082139572008348,7.299623516222254,NA,2.5776396229818845e-4
10275,CCA,232985.64620312274,1751530.806291005,1.5925466937506298,3965,2,0,16,6,21,-0.1875,338.14430721496666,1,0.125,0.375,1.3125,-0.9030899869919435,-0.42596873227228116,0.11809931207799448,5.367329165803703,4.464239178811759,4.941360433531422,5.4854284778816975,NA,2.1402884661217694e-5
10275,Dictyota,12579594.174679691,1113476.6439120993,-4.672465936642086,3965,2,0,16,6,21,-0.1875,338.14430721496666,1,0.125,0.375,1.3125,-0.9030899869919435,-0.42596873227228116,0.11809931207799448,7.099666630732452,6.196576643740508,6.673697898460171,7.217765942810446,NA,3.11560742568067e-4
10283,Dictyota,4531597.982359375,1460911.1729941382,-3.0623431115732163,-1,2,0,16,8,28,-0.375,377.192584461247,1,0.125,0.5,1.75,-0.9030899869919435,-0.3010299956639812,0.24303804868629444,6.656251374759934,5.753161387767991,6.355221379095953,6.899289423446229,NA,1.1155970542317322e-4
10288,Dictyota,12101515.824183695,6832860.223337988,-0.9091006640547505,627,2,0,24,2,37,-1.125,408.27477993077804,1,0.08333333333333333,0.08333333333333333,1.5416666666666667,-1.0791812460476249,-1.0791812460476249,0.18799048235538898,7.08283977303107,6.003658526983445,6.003658526983445,7.270830255386459,NA,3.801238331807935e-4
10289,CCA,134467.8382324234,2100833.0900605456,-0.8508574444885917,459,2,0,18,8,25,-0.16666666666666696,398.16706508733614,1,0.1111111111111111,0.4444444444444444,1.3888888888888888,-0.9542425094393249,-0.35218251811136253,0.14266750356873154,5.128618423011771,4.174375913572446,4.776435904900408,5.271285926580502,NA,1.2498875005916212e-5
10289,Dictyota,3709786.758359377,1973378.0225351565,-2.249563312397187,459,2,0,18,8,25,-0.16666666666666696,398.16706508733614,1,0.1111111111111111,0.4444444444444444,1.3888888888888888,-0.9542425094393249,-0.35218251811136253,0.14266750356873154,6.569348946723018,5.615106437283693,6.217166428611655,6.712016450291749,NA,9.747865214140951e-5
10290,Dictyota,451756.2766406173,1587417.0221875184,-2.0544567392895554,-1,5,0,16,5,28,-0.1875,371.2180402661933,1,0.3125,0.3125,1.75,-0.5051499783199059,-0.5051499783199059,0.24303804868629444,5.654904195303691,5.149754216983784,5.149754216983784,5.897942243989985,NA,1.1121418391765023e-5
10293,CCA,65819.61213086134,2494624.0632343367,2.1827841013750833,-1,2,1,13,5,23,-0.9230769230769234,341.1231764609838,1,0.15384615384615385,0.38461538461538464,1.7692307692307692,-0.8129133566428556,-0.4149733479708179,0.2477844837107561,4.8183553187070185,4.005441962064163,4.4033819707362,5.066139802417775,NA,4.956385372051984e-6
10293,Porites lobata,322636.9203222659,2462936.7186816237,-0.3870340727778695,-1,2,1,13,5,23,-0.9230769230769234,341.1231764609838,1,0.15384615384615385,0.38461538461538464,1.7692307692307692,-0.8129133566428556,-0.4149733479708179,0.2477844837107561,5.508714063532697,4.695800706889842,5.0937407155618795,5.756498547243453,NA,2.7528395699830766e-5
10295,Dictyota,11715228.361417966,1786663.7681796872,-3.750871935835705,247,1,0,8,5,15,-0.25,206.1026642852514,1,0.125,0.625,1.875,-0.9030899869919435,-0.2041199826559248,0.27300127206373764,7.068750758587023,6.165660771595079,6.864630775931098,7.341752030650761,NA,2.898200677326252e-4
10300,Dictyota,2437857.3487109668,3816116.232929702,0.3707036530717333,-1,3,0,24,5,33,-0.583333333333333,444.2513446631519,1,0.125,0.20833333333333334,1.375,-0.9030899869919435,-0.6812412373755872,0.13830269816628146,6.387008289272433,5.48391830228049,5.705767051896846,6.525310987438715,NA,6.238254203609801e-5
10301,Dictyota,31478944.24439649,11444512.841161136,-3.872936108759337,247,1,0,16,10,29,-0.375,396.18766360773077,1,0.0625,0.625,1.8125,-1.2041199826559248,-0.2041199826559248,0.2582780152430313,7.498020158359149,6.293900175703224,7.293900175703224,7.75629817360218,NA,7.767586731071056e-4
10303,CCA,71526925.3925293,65681225.19111523,-0.14234907077828468,-1,2,0,13,4,18,-0.3076923076923075,267.1340334556969,1,0.15384615384615385,0.3076923076923077,1.3846153846153846,-0.8129133566428556,-0.5118833609788743,0.1413291527964693,7.854469557160228,7.041556200517373,7.3425861961813546,7.995798709956698,NA,0.007009525380859586
10303,Dictyota,64957702.94102147,63781227.48138476,-0.03620953709216674,-1,2,0,13,4,18,-0.3076923076923075,267.1340334556969,1,0.15384615384615385,0.3076923076923077,1.3846153846153846,-0.8129133566428556,-0.5118833609788743,0.1413291527964693,7.812630658818132,6.999717302175276,7.300747297839258,7.9539598116146015,NA,0.0018277526294540125
10303,Pocillopora verrucosa,70609811.4314375,47843643.20776854,-0.94440586753608,-1,2,0,13,4,18,-0.3076923076923075,267.1340334556969,1,0.15384615384615385,0.3076923076923077,1.3846153846153846,-0.8129133566428556,-0.5118833609788743,0.1413291527964693,7.848865051681785,7.03595169503893,7.3369816907029115,7.990194204478255,NA,0.0017167442651365597
10303,Porites lobata,75916561.91704491,20347047.609706044,-2.6600645670673124,-1,2,0,13,4,18,-0.3076923076923075,267.1340334556969,1,0.15384615384615385,0.3076923076923077,1.3846153846153846,-0.8129133566428556,-0.5118833609788743,0.1413291527964693,7.880336531686549,7.067423175043693,7.368453170707674,8.021665684483018,NA,0.006057956927697675
10310,CCA,2963689.4879843527,2632222.4389550807,-0.2272786717582991,431,9,2,21,5,45,-0.8571428571428568,566.3076750025423,1,0.42857142857142855,0.23809523809523808,2.142857142857143,-0.36797678529459443,-0.6232492903979004,0.3309932190414244,6.471832699739421,6.103855914444827,5.84858340934152,6.8028259187808455,NA,2.9529130870320226e-4
10310,Dictyota,9601726.784718707,4461187.723874994,-1.1138309036351444,431,9,2,21,5,45,-0.8571428571428568,566.3076750025423,1,0.42857142857142855,0.23809523809523808,2.142857142857143,-0.36797678529459443,-0.6232492903979004,0.3309932190414244,6.982349344043355,6.6143725587487605,6.359100053645454,7.313342563084779,NA,2.688408038876148e-4
10313,Dictyota,2783454.6587656057,1380927.571036138,-1.1475479438343192,814,2,0,15,6,19,-0.06666666666666643,324.12870952125417,1,0.13333333333333333,0.4,1.2666666666666666,-0.8750612633917001,-0.3979400086720376,0.1026623418971477,6.444584151237252,5.569522887845552,6.046644142565214,6.547246493134399,NA,7.513858171051083e-5
10314,Dictyota,6605699.602765642,38728742.468201205,1.1491506929440862,165,1,1,15,4,31,-1.666666666666667,321.2061478937307,1,0.06666666666666667,0.26666666666666666,2.066666666666667,-1.1760912590556813,-0.5740312677277188,0.31527043477859146,6.819918820062692,5.6438275610070106,6.245887552334973,7.135189254841284,NA,1.9607913862968796e-4
10316,Dictyota,3073933.5814355477,1210688.4645996094,-2.090388510209476,-1,2,0,17,9,26,-0.117647058823529,441.1284006816263,1,0.11764705882352941,0.5294117647058824,1.5294117647058822,-0.9294189257142927,-0.27620641193894907,0.184524426592544,6.48769447945271,5.558275553738417,6.211488067513761,6.672218906045254,NA,7.690457415852523e-5
10317,Dictyota,1426616.9397187964,406079.5307968728,-2.7958164941855346,980,2,0,24,4,48,-1.416666666666667,429.3691773606163,1,0.08333333333333333,0.16666666666666666,2,-1.0791812460476249,-0.7781512503836436,0.3010299956639812,6.154307376549042,5.075126130501417,5.376156126165398,6.455337372213023,NA,3.9295000139238294e-5
10323,Dictyota,5558197.29774414,1353817.487421875,-2.3345387834610243,709,1,0,7,4,13,-0.2857142857142856,176.09204655374998,1,0.14285714285714285,0.5714285714285714,1.8571428571428572,-0.8450980400142568,-0.24303804868629447,0.26884531229257996,6.744933958742321,5.899835918728065,6.501895910056026,7.013779271034901,NA,1.4076955457528677e-4
10324,Dictyota,3159116.8719863184,594859.0251123086,-3.4098313732390384,-1,2,0,17,4,26,-0.7058823529411766,323.1961623910602,1,0.11764705882352941,0.23529411764705882,1.5294117647058822,-0.9294189257142927,-0.6283889300503115,0.184524426592544,6.499565692989624,5.5701467672753315,5.871176762939313,6.6840901195821685,NA,7.88171522558998e-5
10327,Dictyota,1330690.6685156361,374540.1360087917,-2.267762888976682,-1,2,0,18,6,25,-0.3888888888888893,366.1761536472651,1,0.1111111111111111,0.3333333333333333,1.3888888888888888,-0.9542425094393249,-0.47712125471966244,0.14266750356873154,6.124077111395085,5.169834601955761,5.646955856675423,6.266744614963817,NA,3.547526814379815e-5
10330,Dictyota,645157.7577500024,1079270.0480722594,0.49114006473750843,-1,1,1,15,2,29,-1.7999999999999998,325.15607884281684,1,0.06666666666666667,0.13333333333333333,1.9333333333333333,-1.1760912590556813,-0.8750612633917001,0.28630673884327484,5.809665923849193,4.633574664793511,4.9346046604574925,6.095972662692468,NA,1.832816695976407e-5
10332,CCA,85592.54219140272,1102008.1981992,-0.9961459630500422,-1,2,0,24,3,48,-1.5,413.37427125289673,1,0.08333333333333333,0.125,2,-1.0791812460476249,-0.9030899869919435,0.3010299956639812,4.932435925585783,3.8532546795381584,4.029345938593839,5.233465921249764,NA,1.0343154950936889e-5
10332,Dictyota,9477073.657646548,44898.702484373716,-6.380406021754751,-1,2,0,24,3,48,-1.5,413.37427125289673,1,0.08333333333333333,0.125,2,-1.0791812460476249,-0.9030899869919435,0.3010299956639812,6.976674256058507,5.897493010010882,6.073584269066563,7.277704251722488,NA,2.3398469809070627e-4
10337,CCA,308560.39144531183,1425255.9658193337,1.974048125042775,3292,1,0,16,4,31,-1.25,302.2325231546312,1,0.0625,0.25,1.9375,-1.2041199826559248,-0.6020599913279624,0.2872417111783479,5.489340176812195,4.28522019415627,4.887280185484233,5.7765818879905435,NA,2.9720138971597698e-5
10339,Dictyota,6695428.333109351,366656.5193906245,-4.499854163253139,1921,1,1,15,9,32,-1.0666666666666664,440.1407290075397,1,0.06666666666666667,0.6,2.1333333333333333,-1.1760912590556813,-0.2218487496163564,0.32905871926422475,6.825778365777508,5.649687106721828,6.603929616161152,7.154837085041733,NA,1.680652968451092e-4
10341,Dictyota,1665302.1279843862,329060.4784609389,-4.071957901409082,-1,3,0,25,3,31,-0.6399999999999997,422.2454807069815,1,0.12,0.12,1.24,-0.9208187539523752,-0.9208187539523752,0.09342168516223506,6.22149303700936,5.300674283056985,5.300674283056985,6.314914722171595,NA,4.099671143859832e-5
10346,Dictyota,1888240.9705322133,169163.9179228504,-3.660897566550145,-1,4,0,30,1,46,-1.0666666666666664,501.3569624250626,1,0.13333333333333333,0.03333333333333333,1.5333333333333334,-0.8750612633917001,-1.4771212547196624,0.18563657696191166,6.276057416601081,5.400996153209381,4.798936161881419,6.461693993562992,NA,4.746288564635885e-5
10350,Dictyota,1209233.0256176507,293612.28699780384,-2.0914374717722892,74,1,2,26,1,51,-2.153846153846154,456.3515148412397,1,0.038461538461538464,0.038461538461538464,1.9615384615384615,-1.414973347970818,-1.414973347970818,0.2925968281271184,6.0825099997757475,4.667536651804929,4.667536651804929,6.375106827902866,NA,3.087503092893701e-5
10352,Dictyota,1516344.3822304646,404921.90321288735,-2.170755912759549,-1,4,0,34,6,38,-0.41176470588235325,599.2866248724172,1,0.11764705882352941,0.17647058823529413,1.1176470588235294,-0.9294189257142927,-0.7533276666586115,0.048304679574555046,6.18079784662397,5.251378920909677,5.427470179965359,6.229102526198525,NA,3.865215474871734e-5
10353,CCA,1112086.307871088,1113765.7427744127,-1.4249282818400852,437,1,0,25,13,51,-0.8799999999999999,574.343566127063,1,0.04,0.52,2.04,-1.3979400086720375,-0.28399665636520083,0.3096301674258988,6.046138493700725,4.648198485028687,5.762141837335524,6.355768661126623,NA,1.097352036803091e-4
10353,Dictyota,3699290.6643046923,3462212.4668681747,-0.717819248651742,437,1,0,25,13,51,-0.8799999999999999,574.343566127063,1,0.04,0.52,2.04,-1.3979400086720375,-0.28399665636520083,0.3096301674258988,6.568118456469272,5.170178447797235,6.284121800104072,6.8777486238951715,NA,9.439372989557026e-5
10353,Turf,296309.10749023524,1006052.1357617172,-0.05158829338673665,437,1,0,25,13,51,-0.8799999999999999,574.343566127063,1,0.04,0.52,2.04,-1.3979400086720375,-0.28399665636520083,0.3096301674258988,5.4717450003560755,4.073804991684038,5.187748343990875,5.781375167781975,NA,1.871195676992942e-5
