DayNight,activity,response_var,term,estimate,std.error,statistic,p.value,r2,r,FDR
Day,recalcitrant,NOSC,value,0.06831703887822083,0.011363189695107249,6.012135739284253,1.8361228883551763e-9,2.9603869835870267e-4,0.01720577514553479,1.8361228883551763e-9
Night,recalcitrant,NOSC,value,0.07233874323490001,0.01134869259374485,6.374191796751243,1.8458349565280978e-10,3.32755493923087e-4,0.018241586935436482,1.8458349565280978e-10
Day,accumulite,NOSC,value,0.08039869683811386,0.03784152417016023,2.1246157125328455,0.03363907836579593,3.760872038122143e-4,0.019392967895920786,0.03363907836579593
Day,depletolite,NOSC,value,-0.21649339821048122,0.024993206703092716,-8.662089694304486,4.792178062641039e-18,0.0017652450709595424,0.04201481965877686,4.792178062641039e-18
Night,accumulite,NOSC,value,-0.17834284237307818,0.03700156381974502,-4.819873107036348,1.4541029485223064e-6,0.0019325122715239118,0.04396034885580313,1.4541029485223064e-6
Night,depletolite,NOSC,value,-0.22134787099057038,0.024237479671797447,-9.132462367699441,6.982434236474085e-20,0.0019617782918111004,0.044291966447778094,6.982434236474085e-20
Day,recalcitrant,row m/z,value,-6.068914749667976e-4,5.3935995788994256e-5,-11.25206767927394,2.330723413332202e-29,9.270998391235352e-4,0.030448314224658404,2.330723413332202e-29
Night,recalcitrant,row m/z,value,-5.341475325835049e-4,5.364599158113324e-5,-9.956895507759786,2.3965599826971387e-23,7.261011056829414e-4,0.02694626329721695,2.3965599826971387e-23
Day,accumulite,row m/z,value,-3.882441220458226e-4,2.0467663759518289e-4,-1.896865839733533,0.05786650962888997,2.607016946787333e-4,0.01614625946399764,0.05786650962888997
Day,depletolite,row m/z,value,-0.0032571784056696887,1.1958482121616535e-4,-27.237389934144808,4.486821240129199e-162,0.015788656200021345,0.1256529195841519,4.486821240129199e-162
Night,accumulite,row m/z,value,2.3119024093395507e-4,2.0253454260630443e-4,1.1414854866675896,0.25368775786069736,9.442427036354673e-5,0.009717215154741955,0.25368775786069736
Night,depletolite,row m/z,value,-0.0020729356611261657,1.1668899895222342e-4,-17.764619456328514,2.2780028454139136e-70,0.00677772732102333,0.08232695379414527,2.2780028454139136e-70
