feature_number,Organism,DayNight,network,activity,ecoNetConsensus,xic,log10,ra,asin,net_act,ecoNetConsensusScore,numberOfNodes,Compound_Name
10593,Dictyota,Day,534,recalcitrant,Organic nitrogen compounds,272131318.4385494,8.434724171540449,0.0077379581431361935,0.007738040433827408,534,0.6666666666666666,3,NA
10614,Dictyota,Day,534,recalcitrant,Organic nitrogen compounds,21659802.59483573,7.27589475089902,5.746869049395695e-4,5.746869504903919e-4,534,0.6666666666666666,3,NA
10837,Dictyota,Day,225,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,12667961.603312567,6.741116680206019,3.1659925920393347e-4,3.1659927655906843e-4,225,1,1,"2S-Amino-4E-pentadecene-1,3R-diol"
12024,Pocillopora verrucosa,Day,1284,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,135781.29165429887,2.7169357652996076,3.1236694452586193e-6,3.1236694452789384e-6,1284,0.9,10,NA
12024,Turf,Day,1284,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,1534942.185109356,3.243561079593493,1.0968089749671435e-4,1.0968089837634781e-4,1284,0.9,10,NA
12024,Turf,Night,1284,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,2544791.5591289434,3.353341148287754,2.723121720623213e-4,2.723121855243329e-4,1284,0.9,10,NA
13325,Pocillopora verrucosa,Night,271,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,13062592.335808596,6.836617819062067,2.9808968953260736e-4,2.9808970372841747e-4,271,0.9090909090909091,11,NA
15852,Dictyota,Day,36,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Aminoxides,112918651.95093857,4.17689784119229,0.0027798519633618997,0.002779866284574386,36,1,2,"MassbankEU:SM876801 N,N-Dimethyldodecylamine N-oxide|Lauramine oxide|N,N-dimethyldodecan-1-amine oxide"
15852,Pocillopora verrucosa,Day,36,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Aminoxides,78410270.72546768,4.097701475885732,0.0018038403072728857,0.0018038442202341252,36,1,2,"MassbankEU:SM876801 N,N-Dimethyldodecylamine N-oxide|Lauramine oxide|N,N-dimethyldodecan-1-amine oxide"
15852,Porites lobata,Day,36,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Aminoxides,79369171.1479707,4.100340921696584,0.005670340929651382,0.005670462481450666,36,1,2,"MassbankEU:SM876801 N,N-Dimethyldodecylamine N-oxide|Lauramine oxide|N,N-dimethyldodecan-1-amine oxide"
