feature_number,node_2,fdr
449,10598,7.763525629041773e-10
17094,10634,3.909787668434394e-11
12468,10649,3.832832653401186e-24
19392,10649,3.83785662193012e-24
20295,10649,3.791009776814275e-24
2372,10649,8.417357787293346e-13
2378,10649,4.3385228839163614e-16
11706,10696,4.2445770685727004e-10
15127,10696,7.809598708244371e-10
4280,10696,7.792139725159219e-10
1469,10698,5.006163163505025e-10
2522,10698,1.2492069483203895e-10
2815,10698,1.0009758873715242e-10
5390,10698,5.346587316220028e-10
5501,10698,4.0395545883092856e-11
6745,10698,4.103629383743936e-12
9303,10698,1.137496938610076e-10
10993,10728,2.046026033577063e-11
19845,10728,2.542163526986854e-10
12456,10892,4.304431286049229e-12
16138,10892,5.201563824850675e-10
10728,10993,2.046026033577063e-11
18827,10993,6.789029755996132e-11
19845,10993,4.796507827909728e-14
9162,10993,1.0548892061248752e-11
13076,11076,4.707995152414147e-13
16292,11076,1.7649338910765073e-19
12180,11130,1.2893427011754e-28
11535,11148,1.847786624167171e-10
11573,11148,3.4330511872046507e-10
16046,11148,3.4276333162268415e-11
9435,11148,7.209740896526698e-11
9494,11148,1.7397239642671883e-10
11197,11155,1.0529121463346238e-11
11247,11155,9.943606941701785e-21
11329,11155,5.122127422031101e-10
11373,11155,2.2714267705294364e-14
11492,11155,1.5493773656035395e-13
13174,11155,6.154674059498612e-15
16046,11155,4.782225763062288e-10
2942,11155,3.718371709624531e-10
9494,11155,2.647514255011948e-12
11155,11197,1.0529121463346238e-11
11247,11197,2.942683222864158e-14
11373,11197,2.594577429021242e-10
11492,11197,1.2800525630280826e-13
11927,11197,7.9280328411715e-11
12039,11197,3.3516314728531506e-10
11155,11247,9.943606941701785e-21
11197,11247,2.942683222864158e-14
11373,11247,5.2358246956394505e-14
11492,11247,3.345503917641621e-16
13174,11247,1.7327825197995158e-13
9494,11247,2.7156458535022816e-10
11329,11259,1.0506330296362295e-12
3078,11259,5.228177148679595e-13
11313,11260,5.273910467094766e-14
11350,11260,3.82971908938939e-10
11404,11260,6.002286124630326e-10
11544,11260,7.253824500331583e-14
11606,11260,2.793397523916942e-12
11666,11260,4.550482367458427e-14
11901,11260,4.4260373886883765e-14
