DayNight,feature_number,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,Water control,Organism,greater,lesser,FDR_greater,FDR_lesser,activity,network,combined_ID,binary_ID,canopus_annotation,canopus_probability,chemontid,level,SUBCLASS,CHEMONT_STRING,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,ZodiacMF,characterization scores,C,H,N,O,P,S,NOSC,dG,inchi_binary,inchi_combined,simplified_makeup,inchi,inchi_key
Day,10030,-6.390332246522329,-3.3608312869381605,0.1679789140899765,-2.6770938862817135,-2.3572299464174984,-3.6793051763304874,Pocillopora verrucosa,0.0013938685125585801,0.9986061314874415,0.026369443029832667,0.9999999470606242,accumulite,7,Spectral Match to p-tert-Octylphenol pentaglycol ether from NIST14,2,Alkyl phosphates,0.96,CHEMONTID:0003457,5,CHEMONTID:0000408,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000402;CHEMONTID:0000408;CHEMONTID:0003457,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Alkyl phosphates,NA,NA,NA,C23H51NO7P2,Good,23,51,1,7,2,0,-1.9130434782608692,114.82173913043476,2,N/A,CHONP,NA,NA
Day,10036,0.12157985280822786,-9.39540049215855,12.351867555604418,-1.8152270725987973,10.084935900830464,9.202509427021319,Pocillopora verrucosa,1.4379704500055885e-5,0.9999856202955,0.0036784481307660503,0.9999999470606242,accumulite,61,"(2S,3S,4S,5R,6R)-6-[[(3S,6aR,6bS,8aR,14bR)-9-hydroxy-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-5-[4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,4-dihydroxyoxane-2-carboxylic acid",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"InChI=1S/C48H78O17/c1-21-29(51)31(53)35(57)40(60-21)64-37-32(54)30(52)24(20-49)61-41(37)65-38-34(56)33(55)36(39(58)59)63-42(38)62-28-13-14-46(7)25(44(28,4)5)12-15-48(9)26(46)11-10-22-23-18-43(2,3)19-27(50)45(23,6)16-17-47(22,48)8/h10,21,23-38,40-42,49-57H,11-20H2,1-9H3,(H,58,59)/t21-,23?,24?,25?,26?,27?,28-,29-,30?,31+,32?,33-,34-,35+,36-,37?,38+,40-,41?,42+,45+,46-,47+,48+/m0/s1",uncharacterized,NA,NA
Day,10112,-1.425755326503252,-0.1365644608396235,0.25694303380289785,-2.475521827255192,0.029831337615376374,-0.4406156115347081,Pocillopora verrucosa,0.003699467354209183,0.9963005326457908,0.04958187938969818,0.9999999470606242,accumulite,198,"Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14",2,Carbonyl compounds,0.95,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,C27H53NO6,Good,27,53,1,6,0,0,-1.4074074074074074,100.41111111111111,2,N/A,CHON,"InChI=1S/C27H53NO6/c1-2-32-22-23-34-25-24-33-21-17-20-28-26(29)18-15-13-11-9-7-5-3-4-6-8-10-12-14-16-19-27(30)31/h2-25H2,1H3,(H,28,29)(H,30,31)",FTDMDTJZSQCDLQ-UHFFFAOYSA-N
Day,10158,-1.0173248380641882,-0.1916864570365682,1.1017090371264666,-0.938863135850809,-1.5034969638783973,-1.3257669286007052,Pocillopora verrucosa,3.2403870297625687e-4,0.9996759612970237,0.011538948837098025,0.9999999470606242,accumulite,-1,Alpha amino acids and derivatives,N/A,Alpha amino acids and derivatives,1,CHEMONTID:0000060,6,CHEMONTID:0000347,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0000013;CHEMONTID:0000347;CHEMONTID:0000060,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,NA,NA,C22H28N4O6,Low probability,22,28,4,6,0,0,-0.18181818181818166,65.48181818181817,3,N/A,uncharacterized,"InChI=1S/C22H28N4O6/c23-16(11-14-12-24-17-4-2-1-3-15(14)17)21(30)26-9-7-13(8-10-26)20(29)25-18(22(31)32)5-6-19(27)28/h1-4,12-13,16,18,24H,5-11,23H2,(H,25,29)(H,27,28)(H,31,32)",HLRNKNWIWDVDDM-UHFFFAOYSA-N
Day,10178,0.08923512510257624,1.472618100124116,1.6847125002470509,0.23220415322354301,1.8361298596006588,0.8386178194986444,Pocillopora verrucosa,6.055462073717406e-4,0.9993944537926283,0.01615497313707596,0.9999999470606242,accumulite,1277,"Organic 1,3-dipolar compounds#Phenylpropanoids and polyketides#Organic acids and derivatives#Lipids and lipid-like molecules#Organoheterocyclic compounds",3,Amino acids and derivatives,0.98,CHEMONTID:0000347,5,CHEMONTID:0000013,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0000013;CHEMONTID:0000347,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,NA,NA,NA,C13H23N4O4,Good,13,23,4,4,0,0,-0.23076923076923084,66.87692307692308,3,N/A,CHON,NA,NA
Day,10244,-0.13715095765739554,1.2065353800109524,1.0026892170219261,-1.7776141987441652,0.2891113029921099,0.31966505896961306,Pocillopora verrucosa,2.83703379163014e-4,0.999716296620837,0.010813914664047786,0.9999999470606242,accumulite,-1,Trialkylamines,N/A,Trialkylamines,0.8,CHEMONTID:0002239,6,CHEMONTID:0002452,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002452;CHEMONTID:0002239,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Tertiary amines,Trialkylamines,NA,NA,C22H36N4O2,Bad quality,22,36,4,2,0,0,-0.9090909090909092,86.2090909090909,3,N/A,uncharacterized,"InChI=1S/C22H36N4O2/c1-17(2)14-23-22(28)24-21(27)18(3)26-12-10-20(11-13-26)16-25(4)15-19-8-6-5-7-9-19/h5-9,17-18,20H,10-16H2,1-4H3,(H2,23,24,27,28)",QZGZXFBKXQFZAO-UHFFFAOYSA-N
Day,10260,-0.5111739634972994,0.6627321688605681,0.7818112093868395,0.2718039061546261,0.1667218429944466,1.5733971284297885,Pocillopora verrucosa,0.00286431924629191,0.9971356807537081,0.041691374994267526,0.9999999470606242,accumulite,-1,Carbonyl compounds,N/A,Carbonyl compounds,0.9,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,C18H30N3O3P,Bad quality,18,30,3,3,1,0,-1.1111111111111107,91.96666666666665,3,N/A,uncharacterized,"InChI=1S/C18H30N3O3P/c1-14(2)20-11-12-21(15(3)4)25(20,23)19-17(18(22)24-5)13-16-9-7-6-8-10-16/h6-10,14-15,17H,11-13H2,1-5H3,(H,19,23)",AZOHEQHAYIYWJM-UHFFFAOYSA-N
Day,10270,-1.6502973529232017,-0.6612988133507491,0.663531152478405,-2.124877013479226,16.77575290395056,1.6570358193738133,Pocillopora verrucosa,3.1075752707238535e-4,0.9996892424729276,0.011285104207331476,0.9999999470606242,accumulite,-1,"9Z,11E,13E-Octadecatrienoic acid ethyl ester",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C7H21N5P,Bad quality,7,21,5,0,1,0,-1.5714285714285712,105.08571428571427,2,"InChI=1S/C20H34O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h7-12H,3-6,13-19H2,1-2H3/b8-7+,10-9-,12-11-",uncharacterized,NA,NA
Day,10293,5.233387613237879,-0.9218512334749002,9.91541606219796,2.93254254858647,7.97453720867612,9.16792752726612,Pocillopora verrucosa,0.0020454366966923,0.9979545633033077,0.03361441977741282,0.9999999470606242,accumulite,-1,".DELTA.2-Androstene-1.alpha.,17.beta.-diol acetate",2,Amino acids and derivatives,0.89,CHEMONTID:0000347,5,CHEMONTID:0000013,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0000013;CHEMONTID:0000347,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,NA,NA,NA,C13H23N2O5P,Good,13,23,2,5,1,0,-0.9230769230769234,86.6076923076923,2,"InChI=1S/C21H32O3/c1-13(22)24-19-10-9-16-15-8-7-14-5-4-6-18(23)21(14,3)17(15)11-12-20(16,19)2/h4,6,14-19,23H,5,7-12H2,1-3H3/t14-,15+,16+,17+,18+,19+,20+,21+/m1/s1",CHONP,"InChI=1S/C13H23N2O5P/c1-4-7-8-9-10-15-12(16)11(14-13(15)17)21(18,19-5-2)20-6-3/h4-10H2,1-3H3",AJXUSLKPSWCZES-UHFFFAOYSA-N
Day,10314,1.7419193792211556,2.5516213884579684,0.7421230962217086,-0.06383848322119735,0.06964446199859783,0.32635996463429967,Pocillopora verrucosa,2.729453049703637e-5,0.9999727054695029,0.004484803796770367,0.9999999470606242,accumulite,165,15(R)-15-Methylprostaglandin D2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C15H31NO4P,Bad quality,15,31,1,4,1,0,-1.666666666666667,107.80000000000001,2,"InChI=1S/C21H34O5/c1-3-4-9-13-21(2,26)14-12-17-16(18(22)15-19(17)23)10-7-5-6-8-11-20(24)25/h5,7,12,14,16-18,22,26H,3-4,6,8-11,13,15H2,1-2H3,(H,24,25)/b7-5-,14-12+/t16-,17-,18+,21-/m1/s1",uncharacterized,"InChI=1S/C15H31NO4P/c1-6-9-10-11-15(13-12-14(4,5)16(15)17)21(18,19-7-2)20-8-3/h6-13H2,1-5H3",RQYKVYDIHNCQQN-UHFFFAOYSA-N
