DayNight,feature_number,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,Water control,Organism,greater,lesser,FDR_greater,FDR_lesser,activity,network,combined_ID,binary_ID,canopus_annotation,canopus_probability,chemontid,level,SUBCLASS,CHEMONT_STRING,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,ZodiacMF,characterization scores,C,H,N,O,P,S,NOSC,dG,inchi_binary,inchi_combined,simplified_makeup,inchi,inchi_key
Day,10202,-1.0176030687936806,-0.6269434174508044,-1.3304932421780333,0.03795723268226501,2.2013392848776676,-0.5760002889268304,Pocillopora verrucosa,0.9996784200860451,3.2157991395494304e-4,0.9999999384831213,0.040789230003467146,depletolite,-1,TamoxifenCitrate,2,Substituted imidazoles,0.94,CHEMONTID:0002310,5,CHEMONTID:0000078,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000436;CHEMONTID:0000078;CHEMONTID:0002310,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Substituted imidazoles,NA,NA,NA,C16H28N16O6,Low probability,16,28,16,6,0,0,2,3.299999999999997,2,N/A,uncharacterized,NA,NA
Day,10205,-2.9212727032077224,-0.8826221826903815,-9.363831995475195,-2.2451411651236466,0.9251002786901215,-1.330626001055418,Pocillopora verrucosa,0.9999377832127752,6.221678722485906e-5,0.9999999384831213,0.02881587507327835,depletolite,155,Creatinol,2,Amino acids,0.8,CHEMONTID:0004176,6,CHEMONTID:0000347,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0000013;CHEMONTID:0000347;CHEMONTID:0004176,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Amino acids,NA,NA,C11H21N3O2,Good,11,21,3,2,0,0,-0.7272727272727275,81.02727272727273,2,"InChI=1S/C4H11N3O/c1-7(2-3-8)4(5)6/h8H,2-3H2,1H3,(H3,5,6)",CHON,"InChI=1S/C11H21N3O2/c1-7(2)6-9(10(12)15)14-11(16)8-4-3-5-13-8/h7-9,13H,3-6H2,1-2H3,(H2,12,15)(H,14,16)",VVRCMYBORQSUTG-UHFFFAOYSA-N
Day,10266,-2.3501137949950195,-1.3602465901453493,-3.538361398933575,-3.1079383665358407,-2.1722257883703073,-0.9832193472780545,Pocillopora verrucosa,0.9996092254908313,3.9077450916876583e-4,0.9999999384831213,0.04275373788093817,depletolite,637,Simvastatin 4'-methyl ether,2,Carboxylic acid derivatives,0.99,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,C23H36O4,Good,23,36,0,4,0,0,-1.2173913043478262,94.99565217391304,2,"InChI=1S/C26H40O5/c1-7-26(4,5)25(28)31-22-13-16(2)12-18-9-8-17(3)21(24(18)22)11-10-19-14-20(29-6)15-23(27)30-19/h8-9,12,16-17,19-22,24H,7,10-11,13-15H2,1-6H3/t16-,17-,19+,20+,21-,22-,24-/m0/s1",CHO,"InChI=1S/C23H36O4/c1-15(27-16(2)24)21(3)13-10-18-17(14-21)8-9-19-22(18,4)11-7-12-23(19,5)20(25)26-6/h14-15,18-19H,7-13H2,1-6H3",NIZDTKKFYLYFHL-UHFFFAOYSA-N
Day,10312,-1.179415281075664,0.6620769362981647,-0.8330993148710102,-0.9729222025888276,-1.2514268466142848,-0.49562581634309133,Pocillopora verrucosa,0.9997277418481562,2.722581518438147e-4,0.9999999384831213,0.03945934521945057,depletolite,80,Organic acids and derivatives#Organoheterocyclic compounds,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C20H34O9,Good,20,34,0,9,0,0,-0.7999999999999998,83.1,3,N/A,CHO,"InChI=1S/C20H34O9/c1-9-10(2)19(28-14(6)22)12(4)27-15(9)7-26-20-11(3)17(23)18(24)16(29-20)8-25-13(5)21/h9-12,15-20,23-24H,7-8H2,1-6H3",RFTZALIPXZADMG-UHFFFAOYSA-N
Day,10580,-1.1312057878191362,-0.8128470276365327,-0.9990403822254822,-0.9143745841018323,-0.7318085954154556,-0.08383015344437268,Pocillopora verrucosa,0.9997383544272306,2.61645572769424e-4,0.9999999384831213,0.03907069055625199,depletolite,1319,"Spectral Match to Ethanol, 2-(2-butoxyethoxy)- from NIST14",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C22H32OP2,Bad quality,22,32,0,1,2,0,-1.8181818181818183,112.11818181818182,2,N/A,uncharacterized,"InChI=1S/C22H32OP2/c1-6-13-22(7-2,19-14-16(3)11-12-20(19)23)25-21-17(4)9-8-10-18(21)15-24-5/h8-12,14,23-25H,6-7,13,15H2,1-5H3",QOWWJNPJMGCTMO-UHFFFAOYSA-N
Day,10712,0.8289886191841671,-0.21412838319323446,-1.8040119102326677,0.19660130075066531,-2.0300347729615296,-8.777801632061039e-4,Pocillopora verrucosa,0.999474053195374,5.259468046260502e-4,0.9999999384831213,0.04642572605303424,depletolite,-1,"5(6)-Epoxy-8Z,11Z,14Z-eicosatrienoic acid, methyl ester",2,Carbonyl compounds,0.9,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,C20H29NO4,Good,20,29,1,4,0,0,-0.9000000000000004,85.95,2,"InChI=1S/C21H34O3/c1-3-4-5-6-7-8-9-10-11-12-13-14-16-19-20(24-19)17-15-18-21(22)23-2/h7-8,10-11,13-14,19-20H,3-6,9,12,15-18H2,1-2H3/b8-7-,11-10-,14-13-",CHON,"InChI=1S/C20H29NO4/c1-24-19(22)13-10-16-8-11-18(12-9-16)21(15-20(23)25-2)14-17-6-4-3-5-7-17/h3-7,16,18H,8-15H2,1-2H3",IOIIVJILYSFEGC-UHFFFAOYSA-N
Day,10839,-1.029928884314439,-0.8060850309146648,-3.2260865573113118,-0.5044938482248744,-0.7911095631355687,-0.1739575734140424,Pocillopora verrucosa,0.9999942909091653,5.709090834685378e-6,0.9999999384831213,0.027493599371831743,depletolite,1018,MoNA:843845 Decacarboxy sulfophenyl carboxylic acid,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C15H35NO2P2,Good,15,35,1,2,2,0,-2.533333333333333,132.5,2,"InChI=1S/C16H24O5S/c17-16(18)9-7-5-3-1-2-4-6-8-14-10-12-15(13-11-14)22(19,20)21/h10-13H,1-9H2,(H,17,18)(H,19,20,21)",CHONP,"InChI=1S/C15H35NO2P2/c1-7-11-19(17,12-8-2)15(16(5)6)20(18,13-9-3)14-10-4/h15H,7-14H2,1-6H3",CLBTWRRHGQBGIA-UHFFFAOYSA-N
Day,11130,0,-2.239874569002766,-3.625266547678979,-8.536856445353436,-7.395477294520941,-5.840927226447871,Pocillopora verrucosa,0.9997924408555334,2.075591444666331e-4,0.9999999384831213,0.03565516375147555,depletolite,1704,Spectral Match to Acetyl-L-carnitine from NIST14,2,Carbonyl compounds,0.86,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,C20H39NO6,Good,20,39,1,6,0,0,-1.2000000000000002,94.5,2,N/A,CHON,"InChI=1S/C20H39NO6/c1-4-6-8-10-12-16(20(24)25)17(22)13-15(11-9-7-5-2)27-19(26-3)14-18(21)23/h15-17,19,22H,4-14H2,1-3H3,(H2,21,23)(H,24,25)",YGLKVMXFHFFGJI-UHFFFAOYSA-N
Day,11138,0.22473711638045957,-0.6297186689796008,-1.284188374766475,-0.3174059177172869,1.0383486142092728,6.913032000774059,Pocillopora verrucosa,0.9999889356502467,1.1064349753303569e-5,0.9999999384831213,0.027493599371831743,depletolite,7,Amines,N/A,Amines,0.92,CHEMONTID:0002449,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,C28H53NO9,Good,28,53,1,9,0,0,-1.1428571428571432,92.87142857142858,3,N/A,CHON,"InChI=1S/C28H53NO9/c1-5-6-12-19(3)27(35)24(38-26(34)16-21(28(36)37)15-25(32)33)14-18(2)11-9-7-8-10-13-22(30)17-23(31)20(4)29/h18-24,27,30-31,35H,5-17,29H2,1-4H3,(H,32,33)(H,36,37)",RXAZVEZCVBLWKV-UHFFFAOYSA-N
Day,11180,-2.115832579332919,-2.4818855732969127,-2.8443770078120214,-1.8693992546864278,-1.394111044605301,-1.730677474725675,Pocillopora verrucosa,0.9999801387394718,1.98612605282008e-5,0.9999999384831213,0.027493599371831743,depletolite,569,Misoprostol,2,Carbonyl compounds,1,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,C25H42O3,Good,25,42,0,3,0,0,-1.4400000000000004,101.34,2,"InChI=1S/C22H38O5/c1-4-5-14-22(2,26)15-10-12-18-17(19(23)16-20(18)24)11-8-6-7-9-13-21(25)27-3/h10,12,17-18,20,24,26H,4-9,11,13-16H2,1-3H3/b12-10+/t17-,18-,20-,22?/m1/s1",CHO,"InChI=1S/C25H42O3/c1-19-18-20(2)22(13-10-14-23(27-4)25(3)16-11-17-25)21(19)12-8-6-7-9-15-24(26)28-5/h6,8,20-23H,1,7,9-18H2,2-5H3",YFXONOKYPFZTMT-UHFFFAOYSA-N
