Organism,feature_number,network,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource,Experiment,Replicate,DayNight,variable,value
CCA,7362,-1,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,5245656.511332074
CCA,7362,-1,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,5245656.511332074
CCA,7362,-1,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,5245656.511332074
CCA,7362,-1,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,5245656.511332074
CCA,13045,2586,Haloquinolines,1,subclass,1,Library,dorcierr,1,Day,T0,13280965.449679695
CCA,13045,2586,Haloquinolines,1,subclass,1,Library,dorcierr,2,Day,T0,13280965.449679695
CCA,13045,2586,Haloquinolines,1,subclass,1,Library,dorcierr,3,Day,T0,13280965.449679695
CCA,13045,2586,Haloquinolines,1,subclass,1,Library,dorcierr,4,Day,T0,13280965.449679695
CCA,13097,21,Fatty acid esters,1,subclass,21,Library,dorcierr,1,Day,T0,29870352.07925783
CCA,13097,21,Fatty acid esters,1,subclass,21,Library,dorcierr,2,Day,T0,29870352.07925783
CCA,13097,21,Fatty acid esters,1,subclass,21,Library,dorcierr,3,Day,T0,29870352.07925783
CCA,13097,21,Fatty acid esters,1,subclass,21,Library,dorcierr,4,Day,T0,29870352.07925783
CCA,15601,80,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,5605887.144972689
CCA,15601,80,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,5605887.144972689
CCA,15601,80,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,5605887.144972689
CCA,15601,80,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,5605887.144972689
CCA,20210,582,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,1150455.5541152516
CCA,20210,582,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,1150455.5541152516
CCA,20210,582,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,1150455.5541152516
CCA,20210,582,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,1150455.5541152516
Dictyota,2405,550,Lipids and lipid-like molecules,0.5714285714285714,superclass,35,Insilico,dorcierr,1,Day,T0,32835339.0505625
Dictyota,2405,550,Lipids and lipid-like molecules,0.5714285714285714,superclass,35,Insilico,dorcierr,2,Day,T0,32835339.0505625
Dictyota,2405,550,Lipids and lipid-like molecules,0.5714285714285714,superclass,35,Insilico,dorcierr,3,Day,T0,32835339.0505625
Dictyota,2405,550,Lipids and lipid-like molecules,0.5714285714285714,superclass,35,Insilico,dorcierr,4,Day,T0,32835339.0505625
Dictyota,3273,4779,Fatty Acyls,1.1,class,2,Insilico,dorcierr,1,Day,T0,16926070.264302645
Dictyota,3273,4779,Fatty Acyls,1.1,class,2,Insilico,dorcierr,2,Day,T0,16926070.264302645
Dictyota,3273,4779,Fatty Acyls,1.1,class,2,Insilico,dorcierr,3,Day,T0,16926070.264302645
Dictyota,3273,4779,Fatty Acyls,1.1,class,2,Insilico,dorcierr,4,Day,T0,16926070.264302645
Dictyota,3419,1095,"Amino acids, peptides, and analogues",0.9,subclass,5,Insilico,dorcierr,1,Day,T0,1427992.6595136812
Dictyota,3419,1095,"Amino acids, peptides, and analogues",0.9,subclass,5,Insilico,dorcierr,2,Day,T0,1427992.6595136812
Dictyota,3419,1095,"Amino acids, peptides, and analogues",0.9,subclass,5,Insilico,dorcierr,3,Day,T0,1427992.6595136812
Dictyota,3419,1095,"Amino acids, peptides, and analogues",0.9,subclass,5,Insilico,dorcierr,4,Day,T0,1427992.6595136812
Dictyota,3780,-1,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,15742442.027876902
Dictyota,3780,-1,NA,NA,NA,NA,NA,dorcierr,2,Day,T0,15742442.027876902
Dictyota,3780,-1,NA,NA,NA,NA,NA,dorcierr,3,Day,T0,15742442.027876902
Dictyota,3780,-1,NA,NA,NA,NA,NA,dorcierr,4,Day,T0,15742442.027876902
Dictyota,3900,17,Fatty amides,1,subclass,1,Library,dorcierr,1,Day,T0,15371004.002433792
Dictyota,3900,17,Fatty amides,1,subclass,1,Library,dorcierr,2,Day,T0,15371004.002433792
Dictyota,3900,17,Fatty amides,1,subclass,1,Library,dorcierr,3,Day,T0,15371004.002433792
Dictyota,3900,17,Fatty amides,1,subclass,1,Library,dorcierr,4,Day,T0,15371004.002433792
Dictyota,4128,21,Fatty acid esters,1,subclass,21,Library,dorcierr,1,Day,T0,29049928.22123453
Dictyota,4128,21,Fatty acid esters,1,subclass,21,Library,dorcierr,2,Day,T0,29049928.22123453
Dictyota,4128,21,Fatty acid esters,1,subclass,21,Library,dorcierr,3,Day,T0,29049928.22123453
Dictyota,4128,21,Fatty acid esters,1,subclass,21,Library,dorcierr,4,Day,T0,29049928.22123453
Dictyota,4360,-1,NA,NA,NA,NA,NA,dorcierr,1,Day,T0,57595669.704058565
