DayNight,OTU,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,number_exudate_organisms,Organism,sample_code,Experiment,Replicate,Timepoint,numOtus,reads,sum,ra,asin,Size,Taxonomy,Kingdom,Phylum,Class,Order,Family,Genus,OTU_id
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_1_T0D,dorcierr,1,T0,3869,1277,7980,0.1600250626566416,0.4115510269843205,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_1_T0D,dorcierr,1,T0,3869,1277,7980,0.1600250626566416,0.4115510269843205,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_1_T0D,dorcierr,1,T0,3869,1277,7980,0.1600250626566416,0.4115510269843205,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_1_T0D,dorcierr,1,T0,3869,1277,7980,0.1600250626566416,0.4115510269843205,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_1_T0D,dorcierr,1,T0,3869,1277,7980,0.1600250626566416,0.4115510269843205,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_1_T0D,dorcierr,1,T0,3869,1277,7980,0.1600250626566416,0.4115510269843205,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_2_T0D,dorcierr,2,T0,3869,1297,7979,0.16255169820779547,0.4149858768828745,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_2_T0D,dorcierr,2,T0,3869,1297,7979,0.16255169820779547,0.4149858768828745,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_2_T0D,dorcierr,2,T0,3869,1297,7979,0.16255169820779547,0.4149858768828745,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_2_T0D,dorcierr,2,T0,3869,1297,7979,0.16255169820779547,0.4149858768828745,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_2_T0D,dorcierr,2,T0,3869,1297,7979,0.16255169820779547,0.4149858768828745,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_2_T0D,dorcierr,2,T0,3869,1297,7979,0.16255169820779547,0.4149858768828745,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_2_TFD,dorcierr,2,TF,3869,239,7991,0.02990864722813165,0.17381505308129636,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_2_TFD,dorcierr,2,TF,3869,239,7991,0.02990864722813165,0.17381505308129636,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_2_TFD,dorcierr,2,TF,3869,239,7991,0.02990864722813165,0.17381505308129636,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_2_TFD,dorcierr,2,TF,3869,239,7991,0.02990864722813165,0.17381505308129636,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_2_TFD,dorcierr,2,TF,3869,239,7991,0.02990864722813165,0.17381505308129636,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_2_TFD,dorcierr,2,TF,3869,239,7991,0.02990864722813165,0.17381505308129636,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_3_TFD,dorcierr,3,TF,3869,264,7995,0.03302063789868668,0.18273103735833898,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_3_TFD,dorcierr,3,TF,3869,264,7995,0.03302063789868668,0.18273103735833898,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
Day,Otu0007,NA,0.0014781581706847199,NA,NA,NA,1,Dictyota,D_DT_3_TFD,dorcierr,3,TF,3869,264,7995,0.03302063789868668,0.18273103735833898,43232,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,
