Organism,DayNight,Timepoint,Replicate,efficiency,,,
WA,Day,T0,1,20.38,,,
WA,Day,T0,2,22.35,,,
PV,Day,T0,1,24.83,,,
PV,Day,T0,2,24.54,,,
PL,Day,T0,1,26.50307448,,,
PL,Day,T0,2,25.86157603,,,
CC,Day,T0,1,18.13,,,
CC,Day,T0,2,23.29,,,
DT,Day,T0,1,25.13365683,,,
DT,Day,T0,2,23.6603121,,,
TR,Day,T0,1,26.0088991,,,
TR,Day,T0,2,26.23610898,,,
WA,Night,T0,1,24.46,,,
WA,Night,T0,2,26.40,,,
PV,Night,T0,1,23.56,,,
PV,Night,T0,2,25.94,,,
PL,Night,T0,1,23.206663,,,
PL,Night,T0,2,24.59701776,,,
CC,Night,T0,1,20.02,,,
CC,Night,T0,2,25.22,,,
DT,Night,T0,1,23.27031868,,,
DT,Night,T0,2,23.11171626,,,
TR,Night,T0,1,,,,
TR,Night,T0,2,23.08068798,,,
WA,Day,TF,1,25.31026689,,,
WA,Day,TF,2,24.48103184,,,
WA,Day,TF,3,24.40853149,,,
WA,Day,TF,4,25.37492182,,,
PV,Day,TF,1,18.38643634,,,
PV,Day,TF,2,25.01275849,,,
PV,Day,TF,3,22.77606752,,,
PV,Day,TF,4,23.45784423,,,
PL,Day,TF,1,24.1337617,,,
PL,Day,TF,2,15.23040627,,,
PL,Day,TF,3,23.92181638,,,
PL,Day,TF,4,24.59599689,,,
CC,Day,TF,1,24.36036567,,,
CC,Day,TF,2,23.20196077,,,
CC,Day,TF,3,24.28686275,,,
CC,Day,TF,4,24.87934237,,,
DT,Day,TF,1,22.52135834,,,
DT,Day,TF,2,22.62180328,,,
DT,Day,TF,3,22.71924536,,,
DT,Day,TF,4,11.93634244,,,
TR,Day,TF,1,23.6333373,,,
TR,Day,TF,2,23.91905277,,,
TR,Day,TF,3,24.47474055,,,
TR,Day,TF,4,21.52409588,,,
WA,Night,TF,1,21.82,,,
WA,Night,TF,2,21.22,,,
WA,Night,TF,3,25.64,,,
WA,Night,TF,4,24.95,,,
PV,Night,TF,1,21.81,,,
PV,Night,TF,2,21.72,,,
PV,Night,TF,3,20.94,,,
PV,Night,TF,4,11.82,,,
PL,Night,TF,1,23.15948169,,,
PL,Night,TF,2,25.21809078,,,
PL,Night,TF,3,,,,
PL,Night,TF,4,25.20036431,,,
CC,Night,TF,1,24.70,,,
CC,Night,TF,2,18.48,,,
CC,Night,TF,3,24.00,,,
CC,Night,TF,4,23.94,,,
DT,Night,TF,1,15.49239237,,,
DT,Night,TF,2,21.98508084,,,
DT,Night,TF,3,23.16339129,,,
DT,Night,TF,4,23.90756496,,,
TR,Night,TF,1,21.07301613,,,
TR,Night,TF,2,,,,
TR,Night,TF,3,24.12777142,,,
TR,Night,TF,4,23.12266284,,,
