cluster.index	parent.mass	RTMean	LibraryID	MetFragID	MetFragSC	FusionID	FusionSC	ConsensusID	ConsensusSC
2	280.2635	0	N/A	CHEBI:82984#SN00397241#CHEBI:87149	Lipids and lipid-like molecules#Organoheterocyclic compounds	CHEBI:82984#SN00397241#CHEBI:87149	Lipids and lipid-like molecules#Organoheterocyclic compounds	CHEBI:82984#SN00397241#CHEBI:87149	Lipids and lipid-like molecules#Organoheterocyclic compounds
3	256.2637	0	SpectralMatchtoPalmitamidefromNIST14						
4	310.3104	0	N/A						
5	338.3419	0	SpectralMatchtoN-CyclohexanecarbonylpentadecylaminefromNIST14						
7	458.1679	0	N/A	SN00003461#SN00008758#SN00089643#SN00014247#SN00014692#SN00017444#SN00017443#SN00053571#CHEBI:79623#SN00007694#SN00008506#SN00011013#SN00365270#SN00011015	Organic acids and derivatives#Organoheterocyclic compounds#Benzenoids			SN00003461#SN00008758#SN00089643#SN00014247#SN00014692#SN00017444#SN00017443#SN00053571#CHEBI:79623#SN00007694#SN00008506#SN00011013#SN00365270#SN00011015	Organic acids and derivatives#Organoheterocyclic compounds#Benzenoids
8	563.5518	0	SpectralMatchto9-Octadecenamide,(Z)-fromNIST14						
9	254.248	0	N/A						
10	388.2547	0	N/A	SN00013962#CHEBI:107874#SN00170867#SN00099742	Alkaloids and derivatives#Organoheterocyclic compounds#Lipids and lipid-like molecules			SN00013962#CHEBI:107874#SN00170867#SN00099742	Alkaloids and derivatives#Organoheterocyclic compounds#Lipids and lipid-like molecules
11	344.2285	0	N/A	SN00027959#SN00093333#SN00021873	Lipids and lipid-like molecules#Organoheterocyclic compounds			SN00027959#SN00093333#SN00021873	Lipids and lipid-like molecules#Organoheterocyclic compounds
12	398.1669	0	N/A	SN00138487#SN00113857#SN00387862#SN00010181#SN00104852#SN00005083#SN00022155	Organic acids and derivatives#Organoheterocyclic compounds			SN00138487#SN00113857#SN00387862#SN00010181#SN00104852#SN00005083#SN00022155	Organic acids and derivatives#Organoheterocyclic compounds
14	758.2231	0	N/A	SN00231792#SN00269961#SN00325999#SN00283577#SN00402791#SN00363578#SN00316978#SN00317158#SN00347298#SN00380595	Phenylpropanoids and polyketides			SN00231792#SN00269961#SN00325999#SN00283577#SN00402791#SN00363578#SN00316978#SN00317158#SN00347298#SN00380595	Phenylpropanoids and polyketides
16	518.1371	0	N/A	CHEBI:110127#CHEBI:125174#SN00005383#SN00099503	Organic oxygen compounds#Organoheterocyclic compounds#Benzenoids			SN00042141#SN00083822	Benzenoids#Organic acids and derivatives
