label	comparison		braycurtis	thetayc	thetayc_lci	thetayc_hci	sharedsobs	sharedchao
100	AL_2_T1	AL_2_T3		0.312934	0.074530	0.063041	0.086019	53.000000	54.000000
100	AL_2_T1	AR_2_T2		0.602428	0.747238	0.730730	0.763745	49.000000	49.000000
100	AL_2_T3	AR_2_T2		0.593818	0.800157	0.787089	0.813226	73.000000	74.750000
100	AL_2_T1	AW_2_T1		0.751939	0.879630	0.870424	0.888836	22.000000	22.000000
100	AL_2_T3	AW_2_T1		0.743699	0.908550	0.901102	0.915999	28.000000	28.000000
100	AR_2_T2	AW_2_T1		0.609006	0.810502	0.797648	0.823355	28.000000	28.000000
100	AL_2_T1	AW_2_T2		0.643788	0.603241	0.581925	0.624556	41.000000	41.000000
100	AL_2_T3	AW_2_T2		0.576555	0.661180	0.642997	0.679363	59.000000	60.875000
100	AR_2_T2	AW_2_T2		0.503444	0.482628	0.460437	0.504818	70.000000	70.250000
100	AW_2_T1	AW_2_T2		0.511392	0.581691	0.557640	0.605742	32.000000	32.000000
100	AL_2_T1	AW_2_T3		0.735449	0.809694	0.796002	0.823386	37.000000	37.000000
100	AL_2_T3	AW_2_T3		0.655566	0.819246	0.807168	0.831323	54.000000	55.099998
100	AR_2_T2	AW_2_T3		0.504578	0.582108	0.560175	0.604042	70.000000	73.250000
100	AW_2_T1	AW_2_T3		0.570336	0.795073	0.781215	0.808931	33.000000	33.000000
100	AW_2_T2	AW_2_T3		0.360030	0.508826	0.484767	0.532884	66.000000	66.250000
100	AL_2_T1	CL_2_T1		0.631645	0.840675	0.830084	0.851267	32.000000	32.000000
100	AL_2_T3	CL_2_T1		0.779751	0.902915	0.895435	0.910396	33.000000	35.750000
100	AR_2_T2	CL_2_T1		0.550025	0.489646	0.465877	0.513414	38.000000	38.000000
100	AW_2_T1	CL_2_T1		0.725716	0.842095	0.831081	0.853108	18.000000	18.000000
100	AW_2_T2	CL_2_T1		0.781700	0.825364	0.813620	0.837108	29.000000	29.000000
100	AW_2_T3	CL_2_T1		0.778614	0.861827	0.851808	0.871847	30.000000	30.000000
100	AL_2_T1	CL_2_T2		0.663306	0.889995	0.881629	0.898362	48.000000	48.000000
100	AL_2_T3	CL_2_T2		0.687375	0.927977	0.921956	0.933999	77.000000	80.583328
