Tree#	Groups	WScore	
1	AL_2_T1-AL_2_T3	0.462683
1	AL_2_T1-AR_2_T2	0.768369
1	AL_2_T3-AR_2_T2	0.398312
1	AL_2_T1-AW_2_T1	0.807341
1	AL_2_T3-AW_2_T1	0.411472
1	AR_2_T2-AW_2_T1	0.285936
1	AL_2_T1-AW_2_T2	0.813479
1	AL_2_T3-AW_2_T2	0.467676
1	AR_2_T2-AW_2_T2	0.190276
1	AW_2_T1-AW_2_T2	0.299157
1	AL_2_T1-AW_2_T3	0.883542
1	AL_2_T3-AW_2_T3	0.549653
1	AR_2_T2-AW_2_T3	0.305656
1	AW_2_T1-AW_2_T3	0.416101
1	AW_2_T2-AW_2_T3	0.298265
1	AL_2_T1-CL_2_T1	0.510505
1	AL_2_T3-CL_2_T1	0.432320
1	AR_2_T2-CL_2_T1	0.584469
1	AW_2_T1-CL_2_T1	0.580134
1	AW_2_T2-CL_2_T1	0.658003
1	AW_2_T3-CL_2_T1	0.718969
1	AL_2_T1-CL_2_T2	0.745510
1	AL_2_T3-CL_2_T2	0.347436
1	AR_2_T2-CL_2_T2	0.199262
1	AW_2_T1-CL_2_T2	0.265629
1	AW_2_T2-CL_2_T2	0.310111
1	AW_2_T3-CL_2_T2	0.368511
1	CL_2_T1-CL_2_T2	0.495471
1	AL_2_T1-CR_2_T3	0.686400
1	AL_2_T3-CR_2_T3	0.337705
1	AR_2_T2-CR_2_T3	0.370657
1	AW_2_T1-CR_2_T3	0.396746
1	AW_2_T2-CR_2_T3	0.462437
1	AW_2_T3-CR_2_T3	0.416088
1	CL_2_T1-CR_2_T3	0.453917
1	CL_2_T2-CR_2_T3	0.290196
1	AL_2_T1-DORCIERR_D_WA_2_TFN	0.729161
1	AL_2_T3-DORCIERR_D_WA_2_TFN	0.487932
1	AR_2_T2-DORCIERR_D_WA_2_TFN	0.549376
1	AW_2_T1-DORCIERR_D_WA_2_TFN	0.552193
1	AW_2_T2-DORCIERR_D_WA_2_TFN	0.604814
1	AW_2_T3-DORCIERR_D_WA_2_TFN	0.693571
1	CL_2_T1-DORCIERR_D_WA_2_TFN	0.474183
1	CL_2_T2-DORCIERR_D_WA_2_TFN	0.542074
1	CR_2_T3-DORCIERR_D_WA_2_TFN	0.520359
1	AL_2_T1-D_CC_1_T0D	0.772348
1	AL_2_T3-D_CC_1_T0D	0.467826
1	AR_2_T2-D_CC_1_T0D	0.288021
1	AW_2_T1-D_CC_1_T0D	0.419662
1	AW_2_T2-D_CC_1_T0D	0.372734
1	AW_2_T3-D_CC_1_T0D	0.405859
1	CL_2_T1-D_CC_1_T0D	0.603918
1	CL_2_T2-D_CC_1_T0D	0.298416
1	CR_2_T3-D_CC_1_T0D	0.333283
1	DORCIERR_D_WA_2_TFN-D_CC_1_T0D	0.507648
1	AL_2_T1-D_CC_1_T0N	0.914245
1	AL_2_T3-D_CC_1_T0N	0.645184
1	AR_2_T2-D_CC_1_T0N	0.444743
1	AW_2_T1-D_CC_1_T0N	0.541033
1	AW_2_T2-D_CC_1_T0N	0.494322
1	AW_2_T3-D_CC_1_T0N	0.305740
1	CL_2_T1-D_CC_1_T0N	0.757687
1	CL_2_T2-D_CC_1_T0N	0.462321
1	CR_2_T3-D_CC_1_T0N	0.488832
1	DORCIERR_D_WA_2_TFN-D_CC_1_T0N	0.634847
1	D_CC_1_T0D-D_CC_1_T0N	0.301884
1	AL_2_T1-D_CC_1_TFD	0.850331
1	AL_2_T3-D_CC_1_TFD	0.574971
1	AR_2_T2-D_CC_1_TFD	0.345957
1	AW_2_T1-D_CC_1_TFD	0.460821
1	AW_2_T2-D_CC_1_TFD	0.321316
1	AW_2_T3-D_CC_1_TFD	0.421582
1	CL_2_T1-D_CC_1_TFD	0.701767
1	CL_2_T2-D_CC_1_TFD	0.431439
1	CR_2_T3-D_CC_1_TFD	0.529934
1	DORCIERR_D_WA_2_TFN-D_CC_1_TFD	0.562460
1	D_CC_1_T0D-D_CC_1_TFD	0.314233
1	D_CC_1_T0N-D_CC_1_TFD	0.402607
1	AL_2_T1-D_CC_1_TFN	0.787696
1	AL_2_T3-D_CC_1_TFN	0.493848
1	AR_2_T2-D_CC_1_TFN	0.436226
1	AW_2_T1-D_CC_1_TFN	0.419605
1	AW_2_T2-D_CC_1_TFN	0.490701
1	AW_2_T3-D_CC_1_TFN	0.582558
1	CL_2_T1-D_CC_1_TFN	0.555273
1	CL_2_T2-D_CC_1_TFN	0.418995
1	CR_2_T3-D_CC_1_TFN	0.480646
1	DORCIERR_D_WA_2_TFN-D_CC_1_TFN	0.233720
1	D_CC_1_T0D-D_CC_1_TFN	0.379786
1	D_CC_1_T0N-D_CC_1_TFN	0.509031
1	D_CC_1_TFD-D_CC_1_TFN	0.401594
1	AL_2_T1-D_CC_2_T0D	0.877262
1	AL_2_T3-D_CC_2_T0D	0.592698
1	AR_2_T2-D_CC_2_T0D	0.380642
1	AW_2_T1-D_CC_2_T0D	0.484528
1	AW_2_T2-D_CC_2_T0D	0.436165
1	AW_2_T3-D_CC_2_T0D	0.373958
1	CL_2_T1-D_CC_2_T0D	0.716119
1	CL_2_T2-D_CC_2_T0D	0.407115
1	CR_2_T3-D_CC_2_T0D	0.471236
1	DORCIERR_D_WA_2_TFN-D_CC_2_T0D	0.589492
1	D_CC_1_T0D-D_CC_2_T0D	0.183100
1	D_CC_1_T0N-D_CC_2_T0D	0.220206
1	D_CC_1_TFD-D_CC_2_T0D	0.296882
1	D_CC_1_TFN-D_CC_2_T0D	0.441262
1	AL_2_T1-D_CC_2_T0N	0.915391
1	AL_2_T3-D_CC_2_T0N	0.651126
1	AR_2_T2-D_CC_2_T0N	0.465911
1	AW_2_T1-D_CC_2_T0N	0.559225
1	AW_2_T2-D_CC_2_T0N	0.512109
1	AW_2_T3-D_CC_2_T0N	0.300515
1	CL_2_T1-D_CC_2_T0N	0.758863
1	CL_2_T2-D_CC_2_T0N	0.481694
1	CR_2_T3-D_CC_2_T0N	0.493080
1	DORCIERR_D_WA_2_TFN-D_CC_2_T0N	0.638851
1	D_CC_1_T0D-D_CC_2_T0N	0.319123
1	D_CC_1_T0N-D_CC_2_T0N	0.046356
1	D_CC_1_TFD-D_CC_2_T0N	0.432333
1	D_CC_1_TFN-D_CC_2_T0N	0.529126
1	D_CC_2_T0D-D_CC_2_T0N	0.248758
1	AL_2_T1-D_CC_2_TFD	0.811253
1	AL_2_T3-D_CC_2_TFD	0.535367
1	AR_2_T2-D_CC_2_TFD	0.324388
1	AW_2_T1-D_CC_2_TFD	0.437755
1	AW_2_T2-D_CC_2_TFD	0.291207
1	AW_2_T3-D_CC_2_TFD	0.451997
1	CL_2_T1-D_CC_2_TFD	0.663157
1	CL_2_T2-D_CC_2_TFD	0.404369
1	CR_2_T3-D_CC_2_TFD	0.496009
1	DORCIERR_D_WA_2_TFN-D_CC_2_TFD	0.521228
1	D_CC_1_T0D-D_CC_2_TFD	0.304099
1	D_CC_1_T0N-D_CC_2_TFD	0.449627
1	D_CC_1_TFD-D_CC_2_TFD	0.074954
1	D_CC_1_TFN-D_CC_2_TFD	0.372213
1	D_CC_2_T0D-D_CC_2_TFD	0.342847
1	D_CC_2_T0N-D_CC_2_TFD	0.478039
1	AL_2_T1-D_CC_2_TFN	0.824768
1	AL_2_T3-D_CC_2_TFN	0.540389
1	AR_2_T2-D_CC_2_TFN	0.308007
1	AW_2_T1-D_CC_2_TFN	0.384931
1	AW_2_T2-D_CC_2_TFN	0.369712
1	AW_2_T3-D_CC_2_TFN	0.476367
1	CL_2_T1-D_CC_2_TFN	0.621565
1	CL_2_T2-D_CC_2_TFN	0.350973
1	CR_2_T3-D_CC_2_TFN	0.465935
1	DORCIERR_D_WA_2_TFN-D_CC_2_TFN	0.385633
1	D_CC_1_T0D-D_CC_2_TFN	0.309874
1	D_CC_1_T0N-D_CC_2_TFN	0.428371
1	D_CC_1_TFD-D_CC_2_TFN	0.250391
1	D_CC_1_TFN-D_CC_2_TFN	0.195703
1	D_CC_2_T0D-D_CC_2_TFN	0.350888
1	D_CC_2_T0N-D_CC_2_TFN	0.455393
1	D_CC_2_TFD-D_CC_2_TFN	0.224334
1	AL_2_T1-D_CC_3_TFD	0.834094
1	AL_2_T3-D_CC_3_TFD	0.544994
1	AR_2_T2-D_CC_3_TFD	0.307977
1	AW_2_T1-D_CC_3_TFD	0.430231
